"Operadora","Clave <br />de <br />Pizarra","Junio 2025","Julio 2025","Agosto 2025","Septiembre 2025","Octubre 2025","Noviembre 2025","Diciembre 2025","Enero 2026","Febrero 2026","Marzo 2026","Abril 2026","Mayo 2026","Junio 2026"
"ACTINVER","ACOB+","25.000000","27.000000","28.000000","30.000000","35.000000","30.000000","28.000000","30.000000","21.000000","1.000000","1.000000","72.000000","557.000000"
"ACTINVER","ACTCOMM",,,,,,,,,,,,,
"ACTINVER","ACTICOB","17349.000000","17509.000000","16992.000000","16897.000000","16566.000000","15742.000000","16176.000000","15259.000000","14888.000000","15125.000000","14855.000000","15285.000000","15232.000000"
"ACTINVER","ACTICRE","397.000000","399.000000","395.000000","412.000000","467.000000","472.000000","496.000000","473.000000","474.000000","484.000000","476.000000","476.000000","457.000000"
"ACTINVER","ACTIG+","8241.000000","8220.000000","8208.000000","8213.000000","8215.000000","8173.000000","8159.000000","8158.000000","8153.000000","6904.000000","6902.000000","6913.000000","6922.000000"
"ACTINVER","ACTIG+2","3854.000000","3850.000000","3330.000000","5061.000000","5067.000000","5076.000000","5078.000000","5063.000000","5066.000000","5037.000000","5055.000000","5035.000000","5035.000000"
"ACTINVER","ACTINEM",,,,,,,,,,,,,
"ACTINVER","ACTINTK","541.000000","540.000000","546.000000","563.000000","567.000000","569.000000","573.000000","587.000000","616.000000","591.000000","587.000000","601.000000","589.000000"
"ACTINVER","ACTIPT4","384.000000","390.000000","390.000000","398.000000","397.000000","404.000000","406.000000","410.000000","410.000000","408.000000","410.000000","413.000000","414.000000"
"ACTINVER","ACTIRVT","2765.000000","2787.000000","2788.000000","2785.000000","2523.000000","3044.000000","3008.000000","2966.000000","2911.000000","2909.000000","3012.000000","3070.000000","3064.000000"
"ACTINVER","ACTIVAR","426.000000","425.000000","449.000000","495.000000","503.000000","553.000000","534.000000","672.000000","772.000000","745.000000","817.000000","862.000000","865.000000"
"ACTINVER","ACTOTAL","3.000000","3.000000","3.000000","3.000000","3.000000","3.000000","3.000000","3.000000","3.000000","3.000000","3.000000","3.000000","3.000000"
"ACTINVER","MAYA","1066.000000","1108.000000","1098.000000","1137.000000","1392.000000","1434.000000","1503.000000","1579.000000","1647.000000","1614.000000","1640.000000","1687.000000","1673.000000"
"ACTINVER","OPORT2","1765.000000","1858.000000","1873.000000","1816.000000","1785.000000","1923.000000","1952.000000","1998.000000","1937.000000","1687.000000","1766.000000","1704.000000","1721.000000"
"ACTINVER","OPTIMO",,,,,,,,,,,,,
"ACTINVER","REGIOUS","285.000000","285.000000","278.000000","272.000000","275.000000","225.000000","118.000000","113.000000","77.000000","81.000000","79.000000","84.000000","98.000000"
"ACTINVER","SNX","4372.000000","4330.000000","4302.000000","4256.000000","4475.000000","4224.000000","4093.000000","3896.000000","3716.000000","3593.000000","3690.000000","3780.000000","3812.000000"
"ACTINVER","VTLS-RF","1553.000000","1687.000000","1753.000000","1878.000000","1960.000000","2012.000000","2040.000000","2074.000000","2118.000000","2048.000000","2117.000000","2193.000000","2198.000000"
"AFIRME","AFIRVIS","352.000000","205.000000","229.000000","241.000000","300.000000","322.000000","267.000000","259.000000","333.000000","360.000000","375.000000","430.000000","358.000000"
"AKAAN","AKTMXMP",,,,,,,,,,,,,
"AKAAN","AKTMXTA",,,,,,,,,,,,,
"AZIMUT","AZMT-G1","5023.000000","5060.000000","5062.000000","4792.000000","4756.000000","4758.000000","4728.000000","4710.000000","4619.000000","4716.000000","4779.000000","4786.000000","4860.000000"
"AZIMUT","AZMTCRE","114.000000","114.000000","114.000000","108.000000","108.000000","106.000000","104.000000","103.000000","102.000000","95.000000","97.000000","92.000000","93.000000"
"AZIMUT","AZMTESG","449.000000","273.000000","268.000000","264.000000","270.000000","265.000000","191.000000","183.000000","177.000000","99.000000","102.000000","97.000000","12.000000"
"AZIMUT","AZMTPRO","233.000000","235.000000","236.000000","495.000000","499.000000","501.000000","504.000000","508.000000","513.000000","510.000000","516.000000","520.000000","521.000000"
"BANORTE","APICP","22594.000000","23292.000000","24209.000000","24916.000000","26334.000000","27470.000000","27725.000000","28965.000000","30226.000000","31171.000000","31757.000000","32567.000000","33074.000000"
"BANORTE","APIDINT",,,,,,,,,,,,,
"BANORTE","FONDOM2",,,,,,,,,,,,,
"BANORTE","INTERM1",,,,,,,,,,,,,
"BANORTE","INTERMS",,,,,,,,,,,,,
"BANORTE","INTEURO",,,,,,,,,,,,,
"BANORTE","NTE-IB1",,,,,,,,,,,,,
"BANORTE","NTEAI","883.000000","921.000000","902.000000","921.000000","988.000000","968.000000","974.000000","890.000000","895.000000","909.000000","918.000000","903.000000","875.000000"
"BANORTE","NTEGLOB","793.000000","783.000000","778.000000","841.000000","858.000000","839.000000","802.000000","738.000000","710.000000","698.000000","701.000000","694.000000","689.000000"
"ACTINVER","ACT2025","10.000000","10.000000","9.000000","9.000000","9.000000","7.000000","6.000000","1.000000","1.000000","1.000000","1.000000","1.000000","1.000000"
"ACTINVER","ACT2040","43.000000","45.000000","46.000000","47.000000","49.000000","50.000000","56.000000","51.000000","52.000000","51.000000","55.000000","63.000000","63.000000"
"ACTINVER","ACTI500","7952.000000","7927.000000","8053.000000","8272.000000","8659.000000","8598.000000","8657.000000","8639.000000","8502.000000","8414.000000","9025.000000","9442.000000","9655.000000"
"ACTINVER","ACTIED","349.000000","349.000000","337.000000","346.000000","351.000000","360.000000","371.000000","385.000000","416.000000","417.000000","419.000000","434.000000","428.000000"
"ACTINVER","ACTIMED","74064.000000","74204.000000","75970.000000","77271.000000","78610.000000","78082.000000","77447.000000","78632.000000","80972.000000","79575.000000","79869.000000","79990.000000","80757.000000"
"ACTINVER","ACTIOP1","8622.000000","8918.000000","9023.000000","10279.000000","10290.000000","10285.000000","10577.000000","11098.000000","11423.000000","10652.000000","11012.000000","11667.000000","10874.000000"
"ACTINVER","ACTIREN","4034.000000","4044.000000","3902.000000","3940.000000","4109.000000","3907.000000","3839.000000","3710.000000","3694.000000","3716.000000","3816.000000","4101.000000","4024.000000"
"ACTINVER","ACTVIDA","1617.000000","1603.000000","1593.000000","1592.000000","1608.000000","1599.000000","1591.000000","1586.000000","1585.000000","1569.000000","1560.000000","1549.000000","1529.000000"
"ACTINVER","ALTERNA",,,,,,,,,,,,,
"ACTINVER","ESCALA","2513.000000","2609.000000","2627.000000","2651.000000","2922.000000","3018.000000","3201.000000","3172.000000","3067.000000","2994.000000","2880.000000","2806.000000","2738.000000"
"ACTINVER","GLOBAL",,,,,,,,,,,,,
"ACTINVER","IMPULSA","4207.000000","4170.000000","4149.000000","4142.000000","4156.000000","4134.000000","4118.000000","4120.000000","4193.000000","4315.000000","4281.000000","4279.000000","4237.000000"
"ACTINVER","JPMRVUS","2311.000000","2339.000000","2260.000000","2206.000000","2228.000000","2160.000000","2041.000000","1929.000000","1670.000000","1606.000000","1704.000000","1745.000000","1748.000000"
"ACTINVER","MAXIMO","2044.000000","2060.000000","1811.000000","1806.000000","1828.000000","1707.000000","1702.000000","1684.000000","1412.000000","1445.000000","1433.000000","1356.000000","1367.000000"
"ACTINVER","OPORT3",,,,,,,,,,,,,
"ACTINVER","PROTEGE","7472.000000","8198.000000","8374.000000","8860.000000","8478.000000","8407.000000","7975.000000","7873.000000","7840.000000","7949.000000","8000.000000","7722.000000","7625.000000"
"ACTINVER","PRUEM",,,,,,,,,,,,,
"ACTINVER","ROBOTIK","996.000000","1006.000000","992.000000","967.000000","996.000000","926.000000","904.000000","882.000000","842.000000","757.000000","851.000000","896.000000","920.000000"
"ACTINVER","VTLS-RV","897.000000","904.000000","931.000000","890.000000","927.000000","903.000000","907.000000","912.000000","912.000000","893.000000","939.000000","938.000000","930.000000"
"AKAAN","AKTUCOB",,,,,,,,,,,,,
"AKAAN","AKTUSAG",,,,,,,,,,,,,
"AZIMUT","AZMT-C1","1636.000000","1756.000000","1830.000000","2014.000000","2163.000000","2115.000000","2082.000000","2549.000000","2687.000000","2739.000000","2800.000000","2857.000000","2947.000000"
"AZIMUT","AZMTCON","69.000000","73.000000","75.000000","68.000000","69.000000","76.000000","77.000000","77.000000","77.000000","75.000000","77.000000","78.000000","77.000000"
"BANORTE","APIBONO","1085.000000","1128.000000","1284.000000","1332.000000","1421.000000","1592.000000","1626.000000","1698.000000","1877.000000","1966.000000","2047.000000","2074.000000","2075.000000"
"BANORTE","EURODIV",,,,,,,,,,,,,
"BANORTE","FONDOM1",,,,,,,,,,,,,
"BANORTE","INTEC",,,,,,,,,,,,,
"BANORTE","INTER7",,,,,,,,,,,,,
"BANORTE","INTERDV",,,,,,,,,,,,,
"BANORTE","INTERMD",,,,,,,,,,,,,
"BANORTE","INTERNC",,,,,,,,,,,,,
"BANORTE","INTESIC",,,,,,,,,,,,,
"BANORTE","IPRIME3",,,,,,,,,,,,,
"BANORTE","ISOLIDO",,,,,,,,,,,,,
"BANORTE","IXEC3",,,,,,,,,,,,,
"BANORTE","MVPMEX+",,,,,,,,,,,,,
