Date,Open,High,Low,Close,Adj Close,Volume,Gain/Loss,Percentage,YTD
01/12/2003,2.946,2.946,2.923,2.923,2.923,0,,,
02/12/2003,2.923,2.931,2.923,2.931,2.931,0,0.008,0.273691413,
03/12/2003,2.931,2.936,2.926,2.931,2.931,0,0,0,
04/12/2003,2.931,2.943,2.931,2.943,2.943,0,0.012,0.409416581,
05/12/2003,2.943,2.948,2.934,2.934,2.934,0,-0.009,-0.305810398,
08/12/2003,2.934,2.943,2.934,2.94,2.94,0,0.006,0.204498978,
09/12/2003,2.94,2.94,2.931,2.933,2.933,0,-0.007,-0.238095238,
10/12/2003,2.933,2.944,2.933,2.942,2.942,0,0.009,0.306853051,
11/12/2003,2.942,2.945,2.936,2.936,2.936,0,-0.006,-0.203942896,
12/12/2003,2.936,2.943,2.935,2.935,2.935,0,-0.001,-0.034059946,
15/12/2003,2.935,2.936,2.918,2.919,2.919,0,-0.016,-0.545144804,
16/12/2003,2.919,2.936,2.919,2.936,2.936,0,0.017,0.58239123,
17/12/2003,2.936,2.943,2.93,2.93,2.93,0,-0.006,-0.204359673,
18/12/2003,2.93,2.936,2.928,2.932,2.932,0,0.002,0.068259386,
19/12/2003,2.932,2.932,2.922,2.923,2.923,0,-0.009,-0.306957708,
22/12/2003,2.923,2.928,2.915,2.919,2.919,0,-0.004,-0.136845706,
23/12/2003,2.919,2.923,2.805,2.907,2.907,0,-0.012,-0.411099692,
24/12/2003,2.907,2.908,2.906,2.907,2.907,0,0,0,
25/12/2003,2.907,2.907,2.907,2.907,2.907,0,0,0,
26/12/2003,2.907,2.907,2.895,2.901,2.901,0,-0.006,-0.206398349,
29/12/2003,2.901,2.901,2.86,2.86,2.86,0,-0.041,-1.413305757,
30/12/2003,2.86,2.908,2.86,2.901,2.901,0,0.041,1.433566434,
31/12/2003,2.901,2.901,2.901,2.901,2.901,0,0,0,
01/01/2004,2.901,2.901,2.901,2.901,2.901,0,0,0,
02/01/2004,2.901,2.901,2.876,2.876,2.876,0,-0.025,-0.861771803,
05/01/2004,2.876,2.876,2.853,2.853,2.853,0,-0.023,-0.799721836,
06/01/2004,2.853,2.866,2.84,2.866,2.866,0,0.013,0.455660708,
07/01/2004,2.866,2.88,2.858,2.858,2.858,0,-0.008,-0.279134682,
08/01/2004,2.858,2.867,2.844,2.854,2.854,0,-0.004,-0.139958013,
09/01/2004,2.854,2.854,2.83,2.83,2.83,0,-0.024,-0.840925018,
12/01/2004,2.83,2.833,2.788,2.79,2.79,0,-0.04,-1.413427562,
13/01/2004,2.79,2.812,2.774,2.805,2.805,0,0.015,0.537634409,
14/01/2004,2.805,2.907,2.805,2.818,2.818,0,0.013,0.463458111,
15/01/2004,2.818,2.818,2.804,2.813,2.813,0,-0.005,-0.177430802,
16/01/2004,2.813,2.827,2.813,2.827,2.827,0,0.014,0.4976893,
19/01/2004,2.827,2.847,2.827,2.838,2.838,0,0.011,0.389105058,
20/01/2004,2.838,2.842,2.833,2.838,2.838,0,0,0,
21/01/2004,2.838,2.845,2.835,2.843,2.843,0,0.005,0.176180409,
22/01/2004,2.843,2.843,2.836,2.828,2.828,0,-0.015,-0.527611678,
23/01/2004,2.837,2.845,2.837,2.84,2.84,0,0.012,0.424328147,
26/01/2004,2.84,2.844,2.828,2.844,2.844,0,0.004,0.14084507,
27/01/2004,2.844,2.869,2.844,2.868,2.868,0,0.024,0.843881857,
28/01/2004,2.868,2.894,2.868,2.894,2.894,0,0.026,0.906555091,
29/01/2004,2.894,2.95,2.894,2.93,2.93,0,0.036,1.243953006,
30/01/2004,2.93,2.948,2.916,2.932,2.932,0,0.002,0.068259386,
02/02/2004,2.932,2.955,2.932,2.941,2.941,0,0.009,0.306957708,
03/02/2004,2.918,2.918,2.902,2.916,2.916,0,-0.025,-0.850051003,
04/02/2004,2.916,2.918,2.902,2.918,2.918,0,0.002,0.068587106,
05/02/2004,2.918,2.941,2.918,2.93,2.93,0,0.012,0.411240576,
06/02/2004,2.93,2.958,2.93,2.932,2.932,0,0.002,0.068259386,
09/02/2004,2.932,2.941,2.922,2.924,2.924,0,-0.008,-0.272851296,
10/02/2004,2.924,2.928,2.914,2.918,2.918,0,-0.006,-0.205198358,
11/02/2004,2.918,2.932,2.905,2.905,2.905,0,-0.013,-0.445510624,
12/02/2004,2.905,2.91,2.895,2.895,2.895,0,-0.01,-0.344234079,
13/02/2004,2.895,2.915,2.895,2.904,2.904,0,0.009,0.310880829,
16/02/2004,2.904,2.915,2.9,2.906,2.906,0,0.002,0.068870523,
17/02/2004,2.906,2.92,2.901,2.916,2.916,0,0.01,0.344115623,
18/02/2004,2.916,2.944,2.913,2.94,2.94,0,0.024,0.823045267,
19/02/2004,2.94,2.959,2.94,2.957,2.957,0,0.017,0.578231293,
20/02/2004,2.957,3.01,2.957,2.957,2.957,0,0,0,
23/02/2004,2.957,2.957,2.957,2.957,2.957,0,0,0,
24/02/2004,2.957,2.957,2.957,2.957,2.957,0,0,0,
25/02/2004,2.957,2.957,2.926,2.939,2.939,0,-0.018,-0.608725059,
26/02/2004,2.939,2.944,2.93,2.93,2.93,0,-0.009,-0.306226608,
