"Tipo <br />de <br />Valor","Clave  <br />de  <br />Pizarra","Valor <br />de <br />Mercado"
"0","Acciones de Aseguradoras Afianzadoras y Arrendadoras","477767414"
"00","Acciones no Susceptibles de Negociación en la BMV","336290"
"1","Acciones Industriales Comerciales y de Servicios","171669866739"
"1ASP","Acciones cotizadas en el SIC (Tipo de Cambio Spot)","168987939312"
"1B","Acciones referidas a los Títulos Referenciados a Acciones","10602967658"
"1ESP","Acciones Extranjeras de Emisiones Extranjeras (Tipo de Cambio Spot)","623752172"
"1I","Títulos Referenciados a acciones Trac s Extranjeros (Tipo de cambio Fix)","187400908590"
"1ISP","Títulos Referenciados a acciones Tracs Extranjeras (Tipo de cambio Spot)","553405356570"
"1MSP","Acciones cotizadas en el Mercado Integrado Latinoamericano (MILA) (Tipo de Cambio Spot)","3764007465"
"1S","Sociedades Anónimas Promotoras de Inversión Bursátil (SAPIB)","141801660"
"2","Obligaciones Industriales Comerciales y de Servicios","3"
"2U","Certificados Bursátiles Segregables Udizados","24993465989"
"41","Acciones Bancarias","571128520"
"51","Acciones de Sociedades de Inversión de Instrumentos de Deuda (Fondos de Inversión)","171306050228"
"52","Acciones de Sociedades de Inversión de Renta Variable (Fondos de Inversión)","142245475224"
"56SP","Sociedades de Inversión de Deuda Extranjera (Tipo de Cambio Spot)","14931141793"
"83","Deuda Estructurada de Corto Plazo para Entidades Financieras y/o Subsidiarias","15008103"
"90","Certificados Bursátiles Municipales","744155440"
"91","Certificados Bursátiles Corporativos","119401019070"
"91SP","Certificados Bursátiles Corporativos (Tipo de Cambio Spot)","3627117"
"92","Certificado Bursátiles de Corto Plazo Gubernamental","12301435425"
"93","Certificados Bursátiles Referenciados a Papel Comercial","5804834212"
"94","Certificado Bursátiles Bancario","84507624808"
"94SP","Certificado Bursatiles Bancario tipo de cambio Spot","165678916"
"95","Certificados Bursátiles emitidos por Entidades o Instituciones del Gobierno Federal","37878126387"
"97","Certificados Bursátiles Respaldados por Hipotecas (BORHIS)","14005855"
"AIM","Aportaciones iniciales mínimas","1523338326"
"BI","Cetes con Impuesto","561367186141"
"CD","Certificados Bursátiles de Banca de Desarrollo","45200330279"
"CDSP","Certificados Bursátiles de Banca de Desarrollo (SPOT)","89886663"
"CF","Fibras Certificados Inmobiliarios (CI)","5254567860"
"CHCA","Cuenta de cheques en dólares canadienses","43346"
"CHD","Cuenta de cheques en dólares","17649897577"
"CHDK","Cuenta de cheques en corona danesa","7947"
"CHE","Cuenta de cheques en euros","455124370"
"CHL","Cuenta de cheques en libras","11125663"
"CHM","Cuenta de cheques en moneda nacional","79639514955"
"D1SP","Bonos del Gobierno Federal Colocados en el Exterior UMS (Tipo de Cambio Spot)","752615729"
"D2","Eurobonos de Empresas Privadas (Tipo de Cambio Fix)","3590360173"
"D2SP","Eurobonos de Empresas Privadas (Tipo de Cambio Spot)","6883617961"
"D4SP","Treasury Bills (Tipo de Cambio Spot)","15265674178"
"D5SP","Treasury Notes (Tipo de Cambio Spot)","4219785002"
"D7SP","Notas Estructuradas de Mediano Plazo Emitidas en el Extranjero (Tipo de Cambio Spot)","42048949"
"D8","Títulos Emisoras Extranjeras SIC","25652170910"
"D8SP","Títulos Emisoras Extranjeras SIC (spot)","25350648"
"EAIM","Aportaciones extraordinarias","388943261"
"F","Certificados de Depósito (Tipo de Cambio Fix)","118505418826"
"FA","Futuros sobre Acciones (MexDer)","-58000"
"FCSP","Futuros de Chicago Spot","7971187"
"FD","Futuros de Divisas","19797642"
"FE","Fibra Energética","24789586"
"FF","Fideicomisos de Inversion de Infraestructura","2435509014"
"FI","Futuros sobre Índices (MexDer)","-261600"
"FSP","Certificados de Depósito (Tipo de Cambio Spot)","182964629"
"FWD","Forward sobre Índice Nacional de Precios al Consumidor (INPC)","-91000433"
"FWDS","Forward Spot","109797809"
"I","Pagaré de Rendimiento Liquidable al Vencimiento (PRLVs)","186208023027"
"IM","Bonos de Protección al Ahorro (BPAG28)","112629803315"
"IQ","Bonos de Protección al Ahorro (BPAG91)","153008347107"
"IS","Bonos de Protección al Ahorro con Pago Semestral de interés (BPAT182)","114591635960"
"J","Bonos Bancarios de Desarrollo","79769262"
"JE","Notas estructuradas sin garantía total de principal","4337823165"
"JI","Títulos de Organismos Financieros Multilaterales","9145114673"
"JISP","Títulos de Organismos Financieros Multilaterales (Tipo de Cambio SPOT)","564032915"
"JSP","Bonos Bancarios de Desarrollo (Tipo de Cambio SPOT)","95527647"
"LD","Bondes D","11392064738"
"LF","BONDES F","1533495158159"
"LG","BONDESG","81057314798"
"M","Bonos del Gob. Fed. Tasa Fija","263353604153"
"MC","Componente representativo de los Cupones Segregados provenientes de los Intereses de un Título de Bonos de Desarrollo del Gobierno Federal con Tasa de interés Fija.","434241432"
"MP","Componente representativo del Cupón Segregado proveniente del Principal de un Título de Bonos de Desarrollo del Gobierno Federal con Tasa de Interés Fija.","11838829518"
"MS","Bonos MS","505631321"
"PUT","Opciones de Venta no listadas","3383954"
"S","Udibonos","210203193957"
"SC","Componente representativo del Cupón Segregado proveniente de los Intereses de un Título de Bonos de Desarrollo del Gobierno Federal denominados en UDIs.","203581183"
"SP","Componente representativo del Cupón Segregado proveniente del Principal de un Título de Bonos de Desarrollo del Gobierno Federal denominados en UDIs.","2915445303"
"SWP","Swaps entregables","48530059"
"SWPS","Swaps (Tipo de cambio cierre de jornada)","22208860"
"WSSP","Warrants Internacionales","61376"
"YYSP","ADRs (Tipo de Cambio Spot)","366370070"
"zzzTotal","-","5297663695510"
