"Operadora","Clave <br />de <br />Pizarra","Junio 2025","Julio 2025","Agosto 2025","Septiembre 2025","Octubre 2025","Noviembre 2025","Diciembre 2025","Enero 2026","Febrero 2026","Marzo 2026","Abril 2026","Mayo 2026","Junio 2026"
"ACTINVER","ACT2035","6","6","6","6","6","6","6","6","6","6","6","6","6"
"ACTINVER","ACT4560","6","6","6","6","6","6","6","6","6","6","6","6","6"
"ACTINVER","ACTIEUR","4","4","1","1","2","3","5","5","5","5","5","5","5"
"ACTINVER","ACTIGOB","29","28","28","28","27","27","27","28","30","33","34","34","33"
"ACTINVER","ACTIPAT",,,,,,,,,,,,,
"ACTINVER","ACTIPLU","9","9","9","9","9","9","9","9","9","9","9","9","9"
"ACTINVER","ACTIPT8",,,,,,,,,,,,,
"ACTINVER","ACTIUS",,,,,,,,,,,,,
"ACTINVER","ALTERN","9","9","9","9","9","9","9","9","9","9","9","9","9"
"ACTINVER","DINAMO","9","9","9","9","9","9","9","9","9","9","9","9","9"
"ACTINVER","ESFERA","7","7","7","7","7","7","7","8","8","8","8","8","8"
"ACTINVER","OPORT1","8","8","8","8","8","8","8","8","8","8","8","8","8"
"ACTINVER","PRUDLS",,,,,,,,,,,,,
"ACTINVER","PRUREF",,,,,,,,,,,,,
"ACTINVER","REGIO1","4","4","4","4","4","4","4","4","6","6","6","6","6"
"ACTINVER","REGIO2","5","5","5","5","5","5","5","5","5","5","5","5","5"
"ACTINVER","SALUD","8","8","8","8","8","8","8","8","8","8","8","8","8"
"AFIRME","AFIRCOR","8","8","8","8","8","9","9","9","11","12","16","13","13"
"AFIRME","AFIRMES","197","192","193","193","189","190","183","184","180","182","182","180","177"
"AFIRME","AFIRPLU","281","278","269","265","257","246","237","242","235","232","231","228","226"
"AKAAN","AKTDEMP",,,,,,,,,,,,,
"AKAAN","AKTMXCP",,,,,,,,,,,,,
"AKAAN","AKTMXLQ",,,,,,,,,,,,,
"AKAAN","AKTUSMO",,,,,,,,,,,,,
"AZIMUT","AZGLOAI",,"30","222","440","485","505","525","526","526","522","526","526","660"
"AZIMUT","AZMTEUA","270","264","263","251","248","240","237","236","234","229","220","212","255"
"AZIMUT","AZMTMOD","409","405","401","388","379","375","367","356","345","332","325","320","308"
"AZIMUT","AZMTUSD","509","512","501","462","451","451","455","447","442","436","434","428","416"
"BANORTE","FIMA",,,,,,,,,,,,,
"BANORTE","ICAPTAL",,,,,,,,,,,,,
"BANORTE","IDOLAR",,,,,,,,,,,,,
"BANORTE","INERGY",,,,,,,,,,,,,
"BANORTE","INTER30",,,,,,,,,,,,,
"BANORTE","INTERMG",,,,,,,,,,,,,
"BANORTE","INTREAL",,,,,,,,,,,,,
"BANORTE","IPRIME4",,,,,,,,,,,,,
"BANORTE","NTE-FD2",,,,,,,,,,,,,
"BANORTE","NTECT","187861","190941","192629","194568","196765","198985","201101","202426","203331","204193","205015","206042","207205"
"BANORTE","NTEDINT",,,,,,,,,,,,,
"BANORTE","NTEDLS+","1388","1374","1363","1358","1352","1354","1358","1363","1349","1349","1342","1332","1333"
"BANORTE","NTEESG","1159","1202","1228","1252","1285","1286","1301","1344","1388","1394","1324","1333","1345"
"BANORTE","NTEGUB","40337","40587","40316","40477","40673","40783","40994","41084","40996","40923","40825","40820","40662"
"BANORTE","NTEGUB+","3630","3617","3664","3645","3629","3607","3557","3572","3614","3616","3595","3573","3597"
"BANORTE","NTELQ",,,,,,,,,,,,,
"BANORTE","NTEMP",,,,,,,,,,,,,
"BANORTE","NTERT","647","641","635","639","634","633","636","645","654","662","662","664","665"
"BANORTE","NTESEM",,,,,,,,,,,,,
"BBVA","B+CRDOL",,,,,,,,,,,,,
"BBVA","B+DCP",,,,,,,,,,,,,
"BBVA","B+DLP",,,,,,,,,,,,,
"BBVA","B+EST2",,,,,,,,,,,,,
"BBVA","B+GF",,,,,,,,,,,,,
"BBVA","B+GUB",,,,,,,,,,,,,
"BBVA","B+MRF",,,,,,,,,,,,,
"BBVA","B+RAV",,,,,,,,,,,,,
"BBVA","B+RVUSA",,,,,,,,,,,,,
"BBVA","B+UMS",,,,,,,,,,,,,
"BBVA","B4+28",,,,,,,,,,,,,
"BBVA","BBVACR","2839","3635","4082","4429","4708","4878","5316","5736","6079","6063","6214","6360","6500"
"BBVA","BBVADCB","318","330","350","344","346","362","379","392","402","438","445","432","426"
"BBVA","BBVADD","3","3","3","3","3","3","3","3","3","3","3","3","3"
"BBVA","BBVADOL","14025","14046","14141","13774","13700","13780","14152","14121","14056","14192","13953","13943","13911"
"BBVA","BBVAEMG","701","724","739","753","786","819","835","972","1066","1152","1213","1434","1667"
"BBVA","BBVAESG","2418","2436","2425","2387","2343","2323","2299","2262","2197","2154","2133","2122","2092"
"BBVA","BBVAGBP","3886","3917","3953","3967","3987","3969","3915","3969","4039","4057","4058","4049","4074"
"BBVA","BBVAGL3","759","794","801","791","844","877","897","975","1022","1030","1128","1232","1466"
"BBVA","BBVAMA2","1950","1930","1902","1861","1890","1933","1977","1946","1930","1920","1898","1885","1852"
"BBVA","BBVAMLT","30","28","27","27","26","26","26","25","27","26","26","25","25"
"BBVA","BBVANSH","265","267","277","282","279","295","311","334","357","367","388","389","393"
"BBVA","BBVAPYM","35465","35940","36299","36537","36918","37189","37394","37784","38029","38162","38283","38418","38555"
"BBVA","BBVARF","49951","52011","53785","55262","57960","60720","63292","65515","66519","66701","66569","67241","67708"
"BBVA","BBVARV","1043","1039","1134","1201","1206","1277","1362","1489","1683","1697","1949","2013","2063"
"BBVA","BBVASIA",,,,,,,,,,,,,
"ACTINVER","ACOB+","8","8","8","8","7","7","7","7","7","1","1","4","6"
"ACTINVER","ACTCOMM",,,,,,,,,,,,,
"ACTINVER","ACTICOB","15","15","14","14","14","14","15","15","15","16","17","16","16"
"ACTINVER","ACTICRE","9","9","9","9","9","10","10","10","10","10","10","10","10"
"ACTINVER","ACTIG+","7","7","7","7","7","7","7","7","7","7","7","7","7"
"ACTINVER","ACTIG+2","8","8","8","8","8","8","8","8","8","8","8","8","8"
"ACTINVER","ACTINEM",,,,,,,,,,,,,
"ACTINVER","ACTINTK","5","5","5","5","5","5","5","5","5","5","5","5","5"
"ACTINVER","ACTIPT4","6","6","6","6","6","6","6","6","6","6","6","6","6"
"ACTINVER","ACTIRVT","7","7","7","7","7","7","7","7","7","7","7","7","7"
"ACTINVER","ACTIVAR","7","7","7","7","7","7","7","7","7","7","7","7","7"
"ACTINVER","ACTOTAL","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ACTINVER","MAYA","9","9","9","9","9","9","9","9","9","10","10","10","10"
"ACTINVER","OPORT2","5","5","5","5","5","5","5","5","5","5","5","5","5"
"ACTINVER","OPTIMO",,,,,,,,,,,,,
"ACTINVER","REGIOUS","3","3","3","3","3","3","3","3","3","3","3","3","3"
"ACTINVER","SNX","8","8","8","8","8","8","8","8","8","8","8","8","8"
"ACTINVER","VTLS-RF","12","12","12","12","18","17","17","17","18","19","18","19","20"
"AFIRME","AFIRVIS","336","323","331","331","321","313","303","299","296","289","286","287","279"
"AKAAN","AKTMXMP",,,,,,,,,,,,,
"AKAAN","AKTMXTA",,,,,,,,,,,,,
"AZIMUT","AZMT-G1","5625","5655","5658","5628","5668","5706","5743","5759","5794","5790","5841","5853","5902"
"AZIMUT","AZMTCRE","256","254","244","226","220","217","208","203","196","186","177","167","165"
"AZIMUT","AZMTESG","342","341","337","337","333","331","326","320","313","302","295","255","86"
"AZIMUT","AZMTPRO","252","252","252","465","465","465","465","465","465","464","464","464","464"
"BANORTE","APICP","146","147","150","147","149","153","154","154","155","158","163","163","163"
"BANORTE","APIDINT",,,,,,,,,,,,,
"BANORTE","FONDOM2",,,,,,,,,,,,,
"BANORTE","INTERM1",,,,,,,,,,,,,
"BANORTE","INTERMS",,,,,,,,,,,,,
"BANORTE","INTEURO",,,,,,,,,,,,,
"BANORTE","NTE-IB1",,,,,,,,,,,,,
"BANORTE","NTEAI","466","478","491","500","512","516","509","507","509","484","482","462","461"
"BANORTE","NTEGLOB","864","850","845","843","825","820","805","791","775","772","763","751","746"
"BANORTE","NTEINT+","399","401","399","392","382","381","368","360","355","350","344","343","343"
"BANORTE","NTELP","888","928","964","1014","1080","1068","1065","1075","1070","1078","1076","1049","1018"
"BANORTE","NTEMP+","3909","3935","3984","4011","4022","4019","3985","3971","3971","3974","3956","3981","4005"
"BANORTE","NTEMPG","2405","2457","2547","2717","2911","2966","2969","2974","3059","3088","3091","3055","3106"
"BANORTE","NTEPZO2","13688","13752","13751","13751","12954","12954","12954","12247","12436","12437","12437","11782","11842"
"BANORTE","NTEPZO3","9892","9280","9280","9280","9055","8680","8680","8680","8061","8211","8211","8211","7871"
"BANORTE","NTESEL","676","682","697","708","715","734","742","781","837","865","880","900","913"
"BBVA","B+CAPRI",,,,,,,,,,,,,
"BBVA","B+CORP",,,,,,,,,,,,,
"BBVA","B+CR",,,,,,,,,,,,,
"BBVA","B+EST1",,,,,,,,,,,,,
"BBVA","B+EST4",,,,,,,,,,,,,
"BBVA","B+GLOBL",,,,,,,,,,,,,
"BBVA","B+PC",,,,,,,,,,,,,
"BBVA","B3+28",,,,,,,,,,,,,
"BBVA","BBVA50",,,,,,,,,,"1","1","1","7"
"BBVA","BBVA56",,,,,,,,,,"1","1","1","7"
"BBVA","BBVA66",,,,,,,,,,"1","1","1","7"
"BBVA","BBVAA","851","872","921","967","1035","1052","1151","1250","1375","1325","1382","1471","1538"
"BBVA","BBVADGA","2352","2461","3254","4078","4298","4221","4091","3913","4076","4006","3957","3819","3784"
"BBVA","BBVAGB2","12430","12394","12624","12516","12583","12564","12511","12512","12518","12327","12370","12445","12487"
"BBVA","BBVAGB3","262","250","274","313","348","326","334","382","434","405","394","388","394"
"BBVA","BBVAGF","2633","3413","3847","4173","4428","4592","5003","5395","5651","5654","5780","5899","6022"
"BBVA","BBVAGFD","411","402","398","381","367","366","365","365","356","353","351","345","336"
"BBVA","BBVAGLP","511","521","628","961","1194","1145","1147","1154","1256","1253","1242","1228","1241"
"BBVA","BBVALAT",,,,,,,,,,,,,
"BBVA","BBVALIQ","867935","881631","891564","900913","912556","923829","938515","949982","955855","959361","964171","977024","987132"
"BBVA","BBVAMA3","326","328","325","312","310","315","314","315","316","315","315","316","314"
"BBVA","BBVAMD","365","360","351","346","359","371","393","397","397","393","403","405","425"
"BBVA","BBVANDQ","8734","9209","9881","10307","10963","11227","11450","11312","11052","10956","11323","11856","11869"
"BBVA","BBVAPZO","34658","35522","35788","36699","37963","37283","34816","33498","33175","31569","30338","28911","28356"
"BBVA","BBVARFG","1833","2064","3002","3482","4132","4595","4922","4801","4685","4551","4381","4218","4028"
"BBVA","BBVARFL","292","305","330","359","420","390","373","365","350","330","320","313","301"
"BBVA","BMER30",,,,,,,,,,,,,
"BBVA","BMERCRE",,,,,,,,,,,,,
"ACTINVER","+VALOR","7","7","7","6","6","6","6","6","6","6","6","6","6"
"ACTINVER","ACT2030","7","7","7","7","7","7","7","7","7","7","7","7","7"
"ACTINVER","ACTDUAL","9","9","9","9","9","9","9","9","9","9","9","9","9"
"ACTINVER","ACTIAI","9","9","9","9","8","8","8","9","9","9","9","9","9"
"ACTINVER","ACTIPT1","5","5","5","5","5","5","5","5","5","5","5","5","5"
