firm,date,TradeSourceId,Side,instrumentType,Value
ACTIN,2018-07-25,AT,Buy,SIC,3173478.15
ACTIN,2018-07-25,AT,Buy,equity,3254119.86
ACTIN,2018-07-25,AT,Cross,equity,264772.79
ACTIN,2018-07-25,AT,Sell,SIC,4485957.1
ACTIN,2018-07-25,AT,Sell,equity,18026308.66
ACTIN,2018-07-26,AT,Buy,SIC,4433719.94
ACTIN,2018-07-26,AT,Buy,equity,1407680.12
ACTIN,2018-07-26,AT,Sell,SIC,10642492.83
ACTIN,2018-07-26,AT,Sell,equity,62857130.73
ACTIN,2018-07-27,AT,Buy,SIC,352181.6
ACTIN,2018-07-27,AT,Buy,equity,1872933.83
ACTIN,2018-07-27,AT,Cross,SIC,9460
ACTIN,2018-07-27,AT,Sell,equity,99307
ACTIN,2018-07-27,IO,Cross,SIC,76842704
ACTIN,2018-07-30,AT,Buy,SIC,737264.42
ACTIN,2018-07-30,AT,Buy,equity,84749.89
ACTIN,2018-07-30,AT,Cross,equity,99039.1
ACTIN,2018-07-30,AT,Sell,SIC,4523316.78
ACTIN,2018-07-30,AT,Sell,equity,2601717.35
ACTIN,2018-07-31,AT,Buy,SIC,1327500
ACTIN,2018-07-31,AT,Buy,equity,856423.4
ACTIN,2018-07-31,AT,Cross,equity,152692.7
ACTIN,2018-07-31,AT,Sell,SIC,209138
ACTIN,2018-07-31,AT,Sell,equity,110464
ACTIN,2018-08-01,AT,Buy,SIC,6572
ACTIN,2018-08-01,AT,Buy,equity,136337.78
ACTIN,2018-08-01,AT,Sell,SIC,52120
ACTIN,2018-08-01,AT,Sell,equity,1228530.94
ACTIN,2018-08-02,AT,Buy,SIC,67000
ACTIN,2018-08-02,AT,Buy,equity,5116604.97
ACTIN,2018-08-02,AT,Cross,equity,917.48
ACTIN,2018-08-02,AT,Sell,SIC,49500
ACTIN,2018-08-02,AT,Sell,equity,16548441.48
ACTIN,2018-08-02,IO,Cross,SIC,4999936.32
ACTIN,2018-08-03,AT,Buy,SIC,583620
ACTIN,2018-08-03,AT,Buy,equity,1906067.8
ACTIN,2018-08-03,AT,Cross,equity,16937.7
ACTIN,2018-08-03,AT,Sell,SIC,188633.01
ACTIN,2018-08-03,AT,Sell,equity,730770.12
ACTIN,2018-08-06,AT,Buy,SIC,309912.5
ACTIN,2018-08-06,AT,Buy,equity,281219.41
ACTIN,2018-08-06,AT,Cross,equity,2656.8
ACTIN,2018-08-06,AT,Sell,SIC,234777.33
ACTIN,2018-08-06,AT,Sell,equity,1963870.69
ACTIN,2018-08-07,AT,Buy,SIC,57106.43
ACTIN,2018-08-07,AT,Buy,equity,67533.7
ACTIN,2018-08-07,AT,Cross,equity,135.06
ACTIN,2018-08-07,AT,Sell,equity,58523.66
ACTIN,2018-08-08,AT,Buy,SIC,530486
ACTIN,2018-08-08,AT,Buy,equity,174200.08
ACTIN,2018-08-08,AT,Cross,equity,41130
ACTIN,2018-08-08,AT,Sell,SIC,16376835.6
ACTIN,2018-08-08,AT,Sell,equity,55150.55
ACTIN,2018-08-08,IO,Cross,SIC,2644040
