Date,Open,High,Low,Last,Close,Quantity,Turnover
2021-07-09,0.64,0.72,0.6,0.7,0.7,0,303670865
2021-07-08,0.72,0.85,0.62,0.64,0.64,0,598405680
2021-07-07,0.61,0.79,0.61,0.72,0.72,0,503459272
2021-07-06,0.55,0.63,0.55,0.61,0.61,0,149327989
2021-07-05,0.58,0.58,0.53,0.55,0.55,0,46720451
2021-07-04,0.56,0.6,0.54,0.58,0.58,0,47432938
2021-07-03,0.54,0.57,0.53,0.56,0.56,0,30737592
2021-07-02,0.55,0.56,0.51,0.54,0.54,0,31471121
2021-07-01,0.58,0.6,0.52,0.55,0.55,0,50710401
2021-06-30,0.55,0.58,0.51,0.58,0.58,0,54994687
2021-06-29,0.51,0.56,0.51,0.55,0.55,0,43836559
2021-06-28,0.49,0.52,0.48,0.51,0.51,0,34141119
2021-06-27,0.47,0.49,0.45,0.49,0.49,0,31258804
2021-06-26,0.47,0.49,0.44,0.47,0.47,0,36847295
2021-06-25,0.53,0.55,0.47,0.47,0.47,0,44687139
2021-06-24,0.5,0.55,0.47,0.53,0.53,0,49192644
2021-06-23,0.44,0.51,0.42,0.49,0.49,0,63859880
2021-06-22,0.46,0.51,0.37,0.44,0.44,0,86824353
2021-06-21,0.62,0.63,0.46,0.46,0.46,0,68706769
2021-06-20,0.63,0.64,0.58,0.62,0.62,0,43009422
2021-06-19,0.65,0.66,0.63,0.63,0.63,0,31617557
2021-06-18,0.69,0.69,0.62,0.65,0.65,0,46260884
2021-06-17,0.71,0.73,0.67,0.69,0.69,0,48515154
2021-06-16,0.71,0.76,0.69,0.71,0.71,0,92411095
2021-06-15,0.71,0.74,0.69,0.71,0.71,0,45665209
2021-06-14,0.69,0.72,0.68,0.7,0.7,0,51321953
2021-06-13,0.66,0.7,0.64,0.69,0.69,0,51869572
2021-06-12,0.69,0.69,0.63,0.66,0.66,0,74973188
2021-06-11,0.7,0.79,0.68,0.69,0.69,0,146561349
2021-06-10,0.74,0.74,0.68,0.7,0.7,0,62936142
2021-06-09,0.71,0.74,0.67,0.74,0.74,0,102177199
2021-06-08,0.74,0.76,0.63,0.71,0.71,0,104684975
2021-06-07,0.82,0.83,0.74,0.74,0.74,0,68154428
2021-06-06,0.82,0.83,0.8,0.82,0.82,0,50556306
2021-06-05,0.82,0.89,0.79,0.82,0.82,0,120065809
2021-06-04,0.89,0.9,0.77,0.82,0.82,0,131971870
2021-06-03,0.86,0.9,0.84,0.89,0.89,0,85097418
2021-06-02,0.83,0.87,0.81,0.86,0.86,0,81083447
2021-06-01,0.85,0.87,0.8,0.83,0.83,0,98158637
2021-05-31,0.78,0.86,0.74,0.85,0.85,0,97203994
2021-05-30,0.75,0.83,0.69,0.78,0.78,0,99117130
2021-05-29,0.81,0.84,0.7,0.75,0.75,0,107452062
2021-05-28,0.9,0.94,0.77,0.82,0.82,0,147717266
2021-05-27,1.01,1.01,0.86,0.9,0.9,0,204563425
2021-05-26,0.79,1.01,0.76,1.01,1.01,0,307774880
2021-05-25,0.78,0.85,0.72,0.79,0.79,0,168923072
2021-05-24,0.62,0.78,0.59,0.78,0.78,0,228589839
2021-05-23,0.76,0.8,0.49,0.62,0.62,0,207790644
2021-05-22,0.82,0.82,0.7,0.76,0.76,0,151567431
2021-05-21,0.96,1,0.7,0.82,0.82,0,219396168
2021-05-20,0.77,1.01,0.69,0.96,0.96,0,327249696
2021-05-19,1.13,1.16,0.51,0.78,0.78,0,462798751
2021-05-18,1.06,1.26,1.05,1.13,1.13,0,262083531
2021-05-17,1.18,1.18,1.01,1.06,1.06,0,238911304
2021-05-16,1.2,1.29,1.1,1.18,1.18,0,182180268
2021-05-15,1.29,1.31,1.2,1.2,1.2,0,175658205
2021-05-14,1.25,1.33,1.24,1.29,1.29,0,150062083
2021-05-13,1.23,1.32,1.16,1.26,1.26,0,238519450
2021-05-12,1.43,1.45,1.22,1.22,1.22,0,167997869
2021-05-11,1.33,1.43,1.31,1.43,1.43,0,191133488
2021-05-10,1.49,1.51,1.24,1.33,1.33,0,304912888
2021-05-09,1.44,1.52,1.36,1.49,1.49,0,234970457
2021-05-08,1.47,1.51,1.42,1.44,1.44,0,171379125
2021-05-07,1.57,1.6,1.42,1.46,1.46,0,410015344
2021-05-06,1.42,1.57,1.35,1.57,1.57,0,365456315
2021-05-05,1.27,1.42,1.26,1.42,1.42,0,233397383
2021-05-04,1.4,1.4,1.24,1.27,1.27,0,270875268
2021-05-03,1.41,1.48,1.39,1.41,1.41,0,191247107
2021-05-02,1.46,1.46,1.38,1.41,1.41,0,122967368
2021-05-01,1.49,1.5,1.42,1.46,1.46,0,155275354
2021-04-30,1.46,1.5,1.4,1.49,1.49,0,207746786
2021-04-29,1.55,1.55,1.37,1.46,1.46,0,379322747
2021-04-28,1.31,1.55,1.29,1.55,1.55,0,633120471
2021-04-27,1.23,1.33,1.21,1.31,1.31,0,198305019
2021-04-26,1.09,1.25,1.08,1.23,1.23,0,211992287
2021-04-25,1.1,1.18,1.03,1.09,1.09,0,194471002
2021-04-24,1.23,1.24,1.1,1.1,1.1,0,154562500
2021-04-23,1.25,1.27,0.99,1.23,1.23,0,463585685
2021-04-22,1.33,1.41,1.18,1.25,1.25,0,368753271
2021-04-21,1.41,1.46,1.3,1.34,1.34,0,365199745
2021-04-20,1.31,1.48,1.16,1.4,1.4,0,845876813
2021-04-19,1.35,1.41,1.17,1.32,1.32,0,489099151
2021-04-18,1.54,1.55,1.1,1.35,1.35,0,804297460
2021-04-17,1.31,1.63,1.25,1.53,1.53,0,1182123252
2021-04-16,1.24,1.34,1.12,1.31,1.31,0,658570995
2021-04-15,1.1,1.28,1.07,1.24,1.24,0,508399413
2021-04-14,1.12,1.12,1.02,1.1,1.1,0,239131039
2021-04-13,1.13,1.14,1.05,1.12,1.12,0,258608419
2021-04-12,1.07,1.2,1.03,1.13,1.13,0,494379244
2021-04-11,1.01,1.15,1,1.08,1.08,0,393604953
2021-04-10,1.03,1.04,0.97,1.01,1.01,0,203256567
2021-04-09,0.99,1.12,0.99,1.03,1.03,0,368581943
2021-04-08,0.93,1.01,0.91,0.99,0.99,0,230827953
2021-04-07,0.96,0.97,0.84,0.93,0.93,0,254944899
2021-04-06,1.01,1.01,0.92,0.96,0.96,0,241846048
2021-04-05,1.02,1.04,0.97,1.01,1.01,0,298860522
2021-04-04,0.96,1.03,0.94,1.02,1.02,0,206622602
2021-04-03,1.05,1.07,0.95,0.96,0.96,0,305875437
2021-04-02,1.02,1.09,1.01,1.05,1.05,0,290180007
2021-04-01,1.03,1.08,1.01,1.02,1.02,0,327874863
2021-03-31,1.09,1.09,1,1.03,1.03,0,359155453
2021-03-30,1.1,1.13,1.06,1.09,1.09,0,416710940
2021-03-29,1.15,1.18,1.06,1.09,1.09,0,663823609
2021-03-28,0.93,1.19,0.91,1.15,1.15,0,1111536303
2021-03-27,0.9,0.99,0.86,0.93,0.93,0,367611781
2021-03-26,0.82,0.92,0.82,0.9,0.9,0,227140451
2021-03-25,0.86,0.89,0.81,0.82,0.82,0,262039051
2021-03-24,0.85,1,0.83,0.86,0.86,0,459378050
2021-03-23,0.92,0.93,0.82,0.85,0.85,0,271730785
2021-03-22,0.99,0.99,0.89,0.92,0.92,0,281384502
2021-03-21,0.9,1.03,0.89,0.99,0.99,0,401572847
2021-03-20,0.97,1.02,0.89,0.89,0.89,0,352831670
2021-03-19,0.98,1.03,0.95,0.97,0.97,0,350589378
2021-03-18,1.06,1.08,0.97,0.98,0.98,0,638557936
2021-03-17,0.91,1.08,0.78,1.06,1.06,0,1376197953
2021-03-16,1.06,1.07,0.85,0.91,0.91,0,687165740
2021-03-15,1.02,1.14,0.94,1.06,1.06,0,1131133345
2021-03-14,0.97,1.19,0.88,1.02,1.02,0,2484601138
2021-03-13,0.66,1.17,0.62,0.97,0.97,0,2866387305
2021-03-12,0.52,0.68,0.52,0.66,0.66,0,783983805
2021-03-11,0.48,0.56,0.47,0.52,0.52,0,446042201
2021-03-10,0.55,0.56,0.48,0.48,0.48,0,394147148
2021-03-09,0.49,0.59,0.49,0.55,0.55,0,795651050
2021-03-08,0.4,0.5,0.4,0.49,0.49,0,595182439
2021-03-07,0.36,0.42,0.35,0.4,0.4,0,215706426
2021-03-06,0.38,0.38,0.34,0.36,0.36,0,158148063
2021-03-05,0.42,0.42,0.36,0.38,0.38,0,340705291
2021-03-04,0.35,0.45,0.34,0.42,0.42,0,705471090
2021-03-03,0.28,0.35,0.27,0.35,0.35,0,265363515
2021-03-02,0.26,0.29,0.25,0.28,0.28,0,91607745
2021-03-01,0.24,0.26,0.24,0.26,0.26,0,67199201
2021-02-28,0.25,0.26,0.22,0.24,0.24,0,81635945
2021-02-27,0.25,0.26,0.25,0.25,0.25,0,63823914
2021-02-26,0.26,0.27,0.22,0.25,0.25,0,99580319
2021-02-25,0.25,0.29,0.24,0.26,0.26,0,100994277
2021-02-24,0.23,0.26,0.22,0.25,0.25,0,86599338
2021-02-23,0.27,0.27,0.19,0.23,0.23,0,169807748
2021-02-22,0.31,0.33,0.24,0.27,0.27,0,176746023
2021-02-21,0.3,0.32,0.3,0.31,0.31,0,83360721
2021-02-20,0.33,0.33,0.29,0.3,0.3,0,114847415
2021-02-19,0.31,0.36,0.29,0.33,0.33,0,155841732
2021-02-18,0.3,0.32,0.29,0.31,0.31,0,138456896
2021-02-17,0.29,0.31,0.27,0.3,0.3,0,137174509
2021-02-16,0.3,0.32,0.27,0.29,0.29,0,165666303
2021-02-15,0.31,0.32,0.26,0.3,0.3,0,176905038
2021-02-14,0.34,0.36,0.3,0.31,0.31,0,208735625
2021-02-13,0.3,0.37,0.3,0.34,0.34,0,443456356
2021-02-12,0.28,0.31,0.28,0.3,0.3,0,204128009
2021-02-11,0.25,0.29,0.24,0.28,0.28,0,161416483
2021-02-10,0.24,0.26,0.23,0.25,0.25,0,135457135
2021-02-09,0.24,0.24,0.23,0.24,0.24,0,109852399
2021-02-08,0.24,0.25,0.23,0.24,0.24,0,140713026
2021-02-07,0.23,0.28,0.22,0.24,0.24,0,327306933
2021-02-06,0.22,0.27,0.19,0.23,0.23,0,295550665
2021-02-05,0.17,0.24,0.17,0.22,0.22,0,169656468
2021-02-04,0.18,0.18,0.16,0.17,0.17,0,66645460
2021-02-03,0.17,0.18,0.16,0.18,0.18,0,92017387
2021-02-02,0.16,0.17,0.15,0.17,0.17,0,58884505
2021-02-01,0.15,0.16,0.15,0.16,0.16,0,43257815
2021-01-31,0.16,0.16,0.15,0.15,0.15,0,45918670
2021-01-30,0.15,0.16,0.15,0.16,0.16,0,55274415
2021-01-29,0.16,0.16,0.15,0.15,0.15,0,67186092
2021-01-28,0.15,0.16,0.14,0.16,0.16,0,82167749
2021-01-27,0.17,0.17,0.14,0.15,0.15,0,71193454
2021-01-26,0.16,0.17,0.15,0.17,0.17,0,83441842
2021-01-25,0.17,0.18,0.16,0.16,0.16,0,95611619
2021-01-24,0.19,0.19,0.17,0.17,0.17,0,141266366
2021-01-23,0.16,0.2,0.16,0.19,0.19,0,366881837
2021-01-22,0.12,0.17,0.1,0.16,0.16,0,335176970
2021-01-21,0.14,0.14,0.12,0.12,0.12,0,86104039
2021-01-20,0.12,0.14,0.12,0.14,0.14,0,116995751
2021-01-19,0.12,0.13,0.11,0.12,0.12,0,88586434
2021-01-18,0.11,0.12,0.11,0.12,0.12,0,38874869
2021-01-17,0.11,0.12,0.1,0.11,0.11,0,52570767
2021-01-16,0.11,0.11,0.11,0.11,0.11,0,39386445
2021-01-15,0.11,0.11,0.1,0.11,0.11,0,42678140
2021-01-14,0.11,0.12,0.11,0.11,0.11,0,33336430
2021-01-13,0.11,0.12,0.1,0.11,0.11,0,48636851
2021-01-12,0.09,0.12,0.09,0.11,0.11,0,91536448
2021-01-11,0.11,0.11,0.08,0.09,0.09,0,49626336
2021-01-10,0.12,0.12,0.1,0.11,0.11,0,55973170
2021-01-09,0.13,0.13,0.11,0.12,0.12,0,58033274
2021-01-08,0.13,0.16,0.11,0.13,0.13,0,250069982
2021-01-07,0.09,0.13,0.09,0.13,0.13,0,162450888
2021-01-06,0.08,0.09,0.08,0.09,0.09,0,37278883
2021-01-05,0.08,0.08,0.08,0.08,0.08,0,41774563
2021-01-04,0.08,0.09,0.08,0.08,0.08,0,38456062
2021-01-03,0.08,0.08,0.08,0.08,0.08,0,30341187
2021-01-02,0.08,0.08,0.08,0.08,0.08,0,16686545
2021-01-01,0.08,0.08,0.08,0.08,0.08,0,24364980
2020-12-31,0.08,0.08,0.08,0.08,0.08,0,11243680
2020-12-30,0.08,0.08,0.08,0.08,0.08,0,11638670
2020-12-29,0.08,0.08,0.08,0.08,0.08,0,21590151
2020-12-28,0.08,0.09,0.08,0.08,0.08,0,23714391
2020-12-27,0.08,0.08,0.08,0.08,0.08,0,27843834
2020-12-26,0.08,0.08,0.08,0.08,0.08,0,17453977
2020-12-25,0.08,0.08,0.08,0.08,0.08,0,17262417
2020-12-24,0.07,0.08,0.07,0.08,0.08,0,26245653
2020-12-23,0.08,0.08,0.07,0.07,0.07,0,21783894
2020-12-22,0.08,0.09,0.08,0.08,0.08,0,16486199
2020-12-21,0.09,0.09,0.08,0.08,0.08,0,25882628
2020-12-20,0.09,0.1,0.09,0.09,0.09,0,24001836
2020-12-19,0.09,0.09,0.09,0.09,0.09,0,20976783
2020-12-18,0.09,0.09,0.09,0.09,0.09,0,15595727
2020-12-17,0.09,0.09,0.08,0.09,0.09,0,17156040
2020-12-16,0.09,0.09,0.08,0.09,0.09,0,15929343
2020-12-15,0.09,0.09,0.09,0.09,0.09,0,18141708
2020-12-14,0.09,0.09,0.08,0.09,0.09,0,10146055
2020-12-13,0.08,0.09,0.08,0.09,0.09,0,12729696
2020-12-12,0.08,0.08,0.08,0.08,0.08,0,13105230
2020-12-11,0.08,0.08,0.08,0.08,0.08,0,11852671
2020-12-10,0.08,0.08,0.08,0.08,0.08,0,17838299
2020-12-09,0.08,0.08,0.08,0.08,0.08,0,27473816
2020-12-08,0.09,0.09,0.08,0.08,0.08,0,13947756
2020-12-07,0.09,0.09,0.09,0.09,0.09,0,12079645
2020-12-06,0.09,0.09,0.09,0.09,0.09,0,13521524
2020-12-05,0.09,0.1,0.09,0.09,0.09,0,21194408
2020-12-04,0.09,0.09,0.09,0.09,0.09,0,13692794
2020-12-03,0.09,0.1,0.09,0.09,0.09,0,18148122
2020-12-02,0.09,0.1,0.09,0.09,0.09,0,25370135
2020-12-01,0.09,0.1,0.08,0.09,0.09,0,36435343
2020-11-30,0.08,0.09,0.08,0.09,0.09,0,17943066
2020-11-29,0.08,0.08,0.08,0.08,0.08,0,16450488
2020-11-28,0.08,0.09,0.08,0.08,0.08,0,20706620
2020-11-27,0.08,0.08,0.08,0.08,0.08,0,22066398
2020-11-26,0.09,0.1,0.08,0.08,0.08,0,40695640
2020-11-25,0.09,0.1,0.09,0.09,0.09,0,31068781
2020-11-24,0.09,0.1,0.09,0.09,0.09,0,39993407
2020-11-23,0.09,0.09,0.08,0.09,0.09,0,33201945
2020-11-22,0.09,0.09,0.08,0.09,0.09,0,19717325
2020-11-21,0.08,0.09,0.08,0.09,0.09,0,16092414
2020-11-20,0.08,0.08,0.08,0.08,0.08,0,14229214
2020-11-19,0.08,0.08,0.07,0.08,0.08,0,9182001
2020-11-18,0.08,0.08,0.08,0.08,0.08,0,12209953
2020-11-17,0.08,0.08,0.08,0.08,0.08,0,19906673
2020-11-16,0.08,0.08,0.08,0.08,0.08,0,16030384
2020-11-15,0.08,0.08,0.08,0.08,0.08,0,31731142
2020-11-14,0.08,0.08,0.08,0.08,0.08,0,44264392
2020-11-13,0.08,0.09,0.08,0.08,0.08,0,25134593
2020-11-12,0.08,0.08,0.08,0.08,0.08,0,34733056
2020-11-11,0.09,0.09,0.08,0.08,0.08,0,35386472
2020-11-10,0.1,0.11,0.09,0.09,0.09,0,78230602
2020-11-09,0.09,0.1,0.08,0.1,0.1,0,72140937
2020-11-08,0.07,0.09,0.07,0.09,0.09,0,35509314
2020-11-07,0.08,0.09,0.07,0.07,0.07,0,41829365
2020-11-06,0.07,0.09,0.07,0.08,0.08,0,69542618
2020-11-05,0.06,0.08,0.06,0.07,0.07,0,24447698
2020-11-04,0.06,0.06,0.06,0.06,0.06,0,13696213
2020-11-03,0.06,0.06,0.06,0.06,0.06,0,13616544
2020-11-02,0.06,0.07,0.06,0.06,0.06,0,10191280
2020-11-01,0.07,0.07,0.06,0.06,0.06,0,11498055
2020-10-31,0.06,0.07,0.06,0.07,0.07,0,14491367
2020-10-30,0.06,0.07,0.06,0.06,0.06,0,30106709
2020-10-29,0.07,0.07,0.06,0.06,0.06,0,8782925
2020-10-28,0.07,0.07,0.06,0.07,0.07,0,22280240
2020-10-27,0.07,0.07,0.07,0.07,0.07,0,42206886
2020-10-26,0.07,0.07,0.07,0.07,0.07,0,22408200
2020-10-25,0.07,0.08,0.07,0.07,0.07,0,11584082
2020-10-24,0.07,0.08,0.07,0.07,0.07,0,13370177
2020-10-23,0.08,0.08,0.07,0.07,0.07,0,13004329
2020-10-22,0.07,0.08,0.07,0.08,0.08,0,10423150
2020-10-21,0.07,0.07,0.07,0.07,0.07,0,12649991
2020-10-20,0.07,0.07,0.07,0.07,0.07,0,20017081
2020-10-19,0.08,0.08,0.07,0.07,0.07,0,11107813
2020-10-18,0.07,0.08,0.07,0.08,0.08,0,10901467
2020-10-17,0.07,0.08,0.07,0.07,0.07,0,9451566
2020-10-16,0.07,0.08,0.07,0.07,0.07,0,9676653
2020-10-15,0.08,0.08,0.07,0.07,0.07,0,7979945
2020-10-14,0.08,0.08,0.08,0.08,0.08,0,9133778
2020-10-13,0.08,0.08,0.08,0.08,0.08,0,22344783
2020-10-12,0.08,0.08,0.08,0.08,0.08,0,25581952
2020-10-11,0.08,0.08,0.08,0.08,0.08,0,26490357
2020-10-10,0.08,0.08,0.08,0.08,0.08,0,61492277
2020-10-09,0.07,0.08,0.07,0.08,0.08,0,37922703
2020-10-08,0.07,0.08,0.07,0.07,0.07,0,32968474
2020-10-07,0.07,0.07,0.07,0.07,0.07,0,33255456
2020-10-06,0.08,0.08,0.07,0.07,0.07,0,39379562
2020-10-05,0.08,0.08,0.07,0.08,0.08,0,29041877
2020-10-04,0.07,0.08,0.07,0.08,0.08,0,35072469
2020-10-03,0.07,0.08,0.07,0.07,0.07,0,41696724
2020-10-02,0.08,0.08,0.07,0.07,0.07,0,66870079
2020-10-01,0.08,0.09,0.07,0.08,0.08,0,69552213
2020-09-30,0.09,0.09,0.08,0.08,0.08,0,59779960
2020-09-29,0.08,0.09,0.08,0.09,0.09,0,72267963
2020-09-28,0.08,0.08,0.08,0.08,0.08,0,43267821
2020-09-27,0.08,0.08,0.08,0.08,0.08,0,47785158
2020-09-26,0.08,0.08,0.08,0.08,0.08,0,55852540
2020-09-25,0.08,0.08,0.07,0.08,0.08,0,55292176
2020-09-24,0.07,0.08,0.07,0.08,0.08,0,59489160
2020-09-23,0.07,0.08,0.07,0.07,0.07,0,71798227
2020-09-22,0.07,0.07,0.07,0.07,0.07,0,7619120
2020-09-21,0.08,0.08,0.07,0.07,0.07,0,8497724
2020-09-20,0.08,0.08,0.08,0.08,0.08,0,5242310
2020-09-19,0.08,0.08,0.08,0.08,0.08,0,5119693
2020-09-18,0.08,0.08,0.08,0.08,0.08,0,6227087
2020-09-17,0.08,0.08,0.08,0.08,0.08,0,6369326
2020-09-16,0.08,0.08,0.08,0.08,0.08,0,5423966
2020-09-15,0.08,0.08,0.08,0.08,0.08,0,6400294
2020-09-14,0.08,0.08,0.08,0.08,0.08,0,9416930
2020-09-13,0.09,0.09,0.08,0.08,0.08,0,10524547
2020-09-12,0.09,0.09,0.08,0.09,0.09,0,9263238
2020-09-11,0.08,0.09,0.08,0.09,0.09,0,13043231
2020-09-10,0.08,0.08,0.08,0.08,0.08,0,9959374
2020-09-09,0.07,0.08,0.07,0.08,0.08,0,10150920
2020-09-08,0.08,0.08,0.07,0.07,0.07,0,12781491
2020-09-07,0.08,0.08,0.07,0.08,0.08,0,25623159
2020-09-06,0.08,0.08,0.07,0.08,0.08,0,37722033
2020-09-05,0.09,0.09,0.07,0.08,0.08,0,56039022
2020-09-04,0.08,0.09,0.08,0.09,0.09,0,52366483
2020-09-03,0.1,0.1,0.08,0.08,0.08,0,51053790
2020-09-02,0.1,0.1,0.09,0.1,0.1,0,60876653
2020-09-01,0.1,0.1,0.1,0.1,0.1,0,67421709
2020-08-31,0.1,0.11,0.1,0.1,0.1,0,68749493
2020-08-30,0.11,0.11,0.1,0.1,0.1,0,84524022
2020-08-29,0.11,0.12,0.1,0.11,0.11,0,125382862
2020-08-28,0.09,0.11,0.09,0.11,0.11,0,118323409
2020-08-27,0.09,0.09,0.09,0.09,0.09,0,85888712
2020-08-26,0.09,0.09,0.08,0.09,0.09,0,44497046
2020-08-25,0.09,0.09,0.08,0.09,0.09,0,44211507
2020-08-24,0.09,0.1,0.09,0.09,0.09,0,31008257
2020-08-23,0.1,0.1,0.09,0.09,0.09,0,28804865
2020-08-22,0.09,0.11,0.09,0.1,0.1,0,65581583
2020-08-21,0.09,0.09,0.09,0.09,0.09,0,30260402
2020-08-20,0.08,0.09,0.08,0.09,0.09,0,19046277
2020-08-19,0.09,0.09,0.08,0.08,0.08,0,21903333
2020-08-18,0.1,0.1,0.09,0.09,0.09,0,26888340
2020-08-17,0.1,0.1,0.09,0.1,0.1,0,30790155
2020-08-16,0.1,0.1,0.09,0.1,0.1,0,28460471
2020-08-15,0.1,0.1,0.09,0.1,0.1,0,32702808
2020-08-14,0.09,0.1,0.09,0.1,0.1,0,37799347
2020-08-13,0.1,0.11,0.09,0.09,0.09,0,48365087
2020-08-12,0.09,0.1,0.09,0.1,0.1,0,70157576
2020-08-11,0.1,0.1,0.09,0.09,0.09,0,65449903
2020-08-10,0.1,0.11,0.09,0.1,0.1,0,112681376
2020-08-09,0.1,0.13,0.1,0.1,0.1,0,188170478
2020-08-08,0.07,0.1,0.07,0.1,0.1,0,114040093
2020-08-07,0.06,0.08,0.06,0.07,0.07,0,59714615
2020-08-06,0.05,0.06,0.05,0.06,0.06,0,37915854
2020-08-05,0.05,0.06,0.05,0.05,0.05,0,25489036
2020-08-04,0.05,0.05,0.04,0.05,0.05,0,10860057
2020-08-03,0.04,0.05,0.04,0.05,0.05,0,16417850
2020-08-02,0.05,0.05,0.04,0.04,0.04,0,16055040
2020-08-01,0.05,0.05,0.04,0.05,0.05,0,15020574
2020-07-31,0.05,0.05,0.04,0.05,0.05,0,15159429
2020-07-30,0.05,0.05,0.05,0.05,0.05,0,17876508
2020-07-29,0.04,0.05,0.04,0.05,0.05,0,38286569
2020-07-28,0.04,0.04,0.04,0.04,0.04,0,23092237
2020-07-27,0.04,0.04,0.04,0.04,0.04,0,24453965
2020-07-26,0.05,0.05,0.04,0.04,0.04,0,18014755
2020-07-25,0.05,0.05,0.05,0.05,0.05,0,17052812
2020-07-24,0.05,0.05,0.05,0.05,0.05,0,16455698
2020-07-23,0.05,0.05,0.05,0.05,0.05,0,21828443
2020-07-22,0.05,0.05,0.05,0.05,0.05,0,24369502
2020-07-21,0.04,0.05,0.04,0.05,0.05,0,62893472
2020-07-20,0.04,0.04,0.04,0.04,0.04,0,14544204
2020-07-19,0.04,0.04,0.04,0.04,0.04,0,12856047
2020-07-18,0.04,0.04,0.04,0.04,0.04,0,8187432
2020-07-17,0.04,0.04,0.04,0.04,0.04,0,8033137
2020-07-16,0.04,0.04,0.04,0.04,0.04,0,9431530
2020-07-15,0.04,0.04,0.04,0.04,0.04,0,11907681
2020-07-14,0.04,0.04,0.04,0.04,0.04,0,10862306
2020-07-13,0.04,0.04,0.04,0.04,0.04,0,14212363
2020-07-12,0.04,0.04,0.04,0.04,0.04,0,11675116
2020-07-11,0.04,0.04,0.04,0.04,0.04,0,10607753
2020-07-10,0.04,0.04,0.04,0.04,0.04,0,12469114
2020-07-09,0.04,0.04,0.04,0.04,0.04,0,13140575
2020-07-08,0.04,0.04,0.04,0.04,0.04,0,10552248
2020-07-07,0.04,0.04,0.04,0.04,0.04,0,11155648
2020-07-06,0.04,0.04,0.04,0.04,0.04,0,11468557
2020-07-05,0.04,0.04,0.04,0.04,0.04,0,11184260
2020-07-04,0.04,0.04,0.04,0.04,0.04,0,10856462
2020-07-03,0.04,0.04,0.04,0.04,0.04,0,8123621
2020-07-02,0.04,0.04,0.04,0.04,0.04,0,6386297
2020-07-01,0.04,0.04,0.04,0.04,0.04,0,10086849
2020-06-30,0.04,0.04,0.04,0.04,0.04,0,9342541
2020-06-29,0.04,0.04,0.04,0.04,0.04,0,10460314
2020-06-28,0.04,0.04,0.04,0.04,0.04,0,11327279
2020-06-27,0.04,0.04,0.04,0.04,0.04,0,10257075
2020-06-26,0.04,0.04,0.04,0.04,0.04,0,14289121
2020-06-25,0.04,0.04,0.04,0.04,0.04,0,11828469
2020-06-24,0.05,0.05,0.04,0.04,0.04,0,10140076
2020-06-23,0.05,0.05,0.04,0.05,0.05,0,13308872
2020-06-22,0.04,0.05,0.04,0.05,0.05,0,18769878
2020-06-21,0.04,0.04,0.04,0.04,0.04,0,18039712
2020-06-20,0.04,0.04,0.04,0.04,0.04,0,14704547
2020-06-19,0.04,0.04,0.04,0.04,0.04,0,15015417
2020-06-18,0.04,0.04,0.04,0.04,0.04,0,14344673
2020-06-17,0.04,0.04,0.04,0.04,0.04,0,13104368
2020-06-16,0.04,0.04,0.04,0.04,0.04,0,13629001
2020-06-15,0.04,0.04,0.04,0.04,0.04,0,14579731
2020-06-14,0.04,0.04,0.04,0.04,0.04,0,14974384
2020-06-13,0.04,0.04,0.04,0.04,0.04,0,14216967
2020-06-12,0.04,0.04,0.04,0.04,0.04,0,15521932
2020-06-11,0.04,0.05,0.04,0.04,0.04,0,21987800
2020-06-10,0.04,0.04,0.04,0.04,0.04,0,15989353
2020-06-09,0.04,0.04,0.04,0.04,0.04,0,13252971
2020-06-08,0.04,0.04,0.04,0.04,0.04,0,12249207
2020-06-07,0.04,0.04,0.04,0.04,0.04,0,13721083
2020-06-06,0.04,0.04,0.04,0.04,0.04,0,12928565
2020-06-05,0.04,0.04,0.04,0.04,0.04,0,19664737
2020-06-04,0.04,0.04,0.04,0.04,0.04,0,19539661
2020-06-03,0.04,0.04,0.04,0.04,0.04,0,17281886
2020-06-02,0.04,0.04,0.04,0.04,0.04,0,19518717
2020-06-01,0.04,0.04,0.04,0.04,0.04,0,17763623
2020-05-31,0.04,0.04,0.04,0.04,0.04,0,19443503
2020-05-30,0.04,0.04,0.04,0.04,0.04,0,18988813
2020-05-29,0.04,0.04,0.04,0.04,0.04,0,15376636
2020-05-28,0.04,0.04,0.04,0.04,0.04,0,19363617
2020-05-27,0.04,0.04,0.04,0.04,0.04,0,20479324
2020-05-26,0.04,0.04,0.04,0.04,0.04,0,25909042
2020-05-25,0.04,0.04,0.04,0.04,0.04,0,22931718
2020-05-24,0.04,0.04,0.04,0.04,0.04,0,18101274
2020-05-23,0.04,0.04,0.04,0.04,0.04,0,21677432
