SECURITY,DATE,EXCHANGE,Custom,SESSION,Custom.1,VOLUME,VALUE
WALMEX*,4/1/2025,U,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,2578214,146721370.4
WALMEX*,4/1/2025,U,UNINTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,212962,12099830.9
WALMEX*,4/1/2025,M,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,6573239,374231475.8
WALMEX*,4/1/2025,M,INTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,1662975,94119135.84
WALMEX*,4/1/2025,M,MID POINT,CONTINUOUS MARKET,NORMAL,5000,283300
WALMEX*,4/1/2025,U,REGULAR TRADE,AT CLOSE,NORMAL,26622,1523310.84
WALMEX*,4/1/2025,M,REGULAR TRADE,AT CLOSE,NORMAL,12912181,738834996.8
WALMEX*,4/1/2025,M,UNINTENTIONAL CROSS,AT CLOSE,NORMAL,1837764,105156856.1
WALMEX*,4/2/2025,U,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,2956044,170238665.3
WALMEX*,4/2/2025,U,UNINTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,316653,18182321.52
WALMEX*,4/2/2025,M,INTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,1697640,97744985.14
WALMEX*,4/2/2025,M,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,6154039,354424014.6
WALMEX*,4/2/2025,U,UNINTENTIONAL CROSS,AT CLOSE,NORMAL,462401,26768393.89
WALMEX*,4/2/2025,U,REGULAR TRADE,AT CLOSE,NORMAL,10895,630711.55
WALMEX*,4/2/2025,M,REGULAR TRADE,AT CLOSE,NORMAL,12813710,741785671.9
WALMEX*,4/2/2025,M,UNINTENTIONAL CROSS,AT CLOSE,NORMAL,961966,55688211.74
WALMEX*,4/3/2025,U,UNINTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,836511,49273097.25
WALMEX*,4/3/2025,U,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,4801962,284843851.4
WALMEX*,4/3/2025,M,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,11953692,708193163
WALMEX*,4/3/2025,M,INTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,3838576,226659985.5
WALMEX*,4/3/2025,M,MID POINT,CONTINUOUS MARKET,NORMAL,4841,289064.145
WALMEX*,4/3/2025,M,REGULAR TRADE,AT CLOSE,NORMAL,10390186,616969244.7
WALMEX*,4/3/2025,M,UNINTENTIONAL CROSS,AT CLOSE,NORMAL,1140507,67723305.66
WALMEX*,4/3/2025,U,REGULAR TRADE,AT CLOSE,NORMAL,7978,473733.64
WALMEX*,4/3/2025,U,UNINTENTIONAL CROSS,AT CLOSE,NORMAL,1990,118166.2
WALMEX*,4/4/2025,M,INTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,693938,39765148.13
WALMEX*,4/4/2025,M,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,6298823,360210074.2
WALMEX*,4/4/2025,U,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,2556382,145834887.7
WALMEX*,4/4/2025,U,UNINTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,216476,12335721.53
WALMEX*,4/4/2025,M,MID POINT,CONTINUOUS MARKET,NORMAL,6749,386962.975
WALMEX*,4/4/2025,M,REGULAR TRADE,AT CLOSE,NORMAL,9686131,550172240.8
WALMEX*,4/4/2025,M,UNINTENTIONAL CROSS,AT CLOSE,NORMAL,89712,5095641.6
WALMEX*,4/7/2025,U,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,2824070,160342703.8
WALMEX*,4/7/2025,U,UNINTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,211634,12006707.11
WALMEX*,4/7/2025,M,INTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,4674020,264590954
WALMEX*,4/7/2025,M,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,8733734,495426497.5
WALMEX*,4/7/2025,M,REGULAR TRADE,AT CLOSE,NORMAL,10149539,578016246.1
WALMEX*,4/7/2025,M,UNINTENTIONAL CROSS,AT CLOSE,NORMAL,818201,46596546.95
WALMEX*,4/8/2025,U,UNINTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,534550,30322949.51
WALMEX*,4/8/2025,M,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,11372286,644188497.4
WALMEX*,4/8/2025,M,INTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,1318013,74894951.26
WALMEX*,4/8/2025,U,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,4526185,256613945.4
WALMEX*,4/8/2025,M,REGULAR TRADE,AT CLOSE,NORMAL,10547822,594158813.3
WALMEX*,4/8/2025,M,UNINTENTIONAL CROSS,AT CLOSE,NORMAL,2265328,127605926.2
WALMEX*,4/8/2025,U,REGULAR TRADE,AT CLOSE,NORMAL,42245,2379660.85
WALMEX*,4/9/2025,U,UNINTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,492191,27617912.75
WALMEX*,4/9/2025,M,INTENTIONAL CROSS,CONTINUOUS MARKET,NORMAL,4505156,252731127.3
WALMEX*,4/9/2025,M,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,15431324,873634443.2
WALMEX*,4/9/2025,U,REGULAR TRADE,CONTINUOUS MARKET,NORMAL,4813617,272142508.2
WALMEX*,4/9/2025,M,REGULAR TRADE,AT CLOSE,NORMAL,10625370,615527684.1
WALMEX*,4/9/2025,M,UNINTENTIONAL CROSS,AT CLOSE,NORMAL,1530098,88638577.14
WALMEX*,4/9/2025,U,REGULAR TRADE,AT CLOSE,NORMAL,1600,92688
WALMEX*,4/9/2025,U,UNINTENTIONAL CROSS,AT CLOSE,NORMAL,24774,1435157.82
WALMEX*,4/9/2025,M,UNINTENTIONAL CROSS,AFTER CLOSE,NORMAL,2810,162783.3
