Date,Price,Gain/Loss,Percentage,YTD
03/01/1996,17.4,,,
04/01/1996,17.41,0.01,0.057471264,
05/01/1996,17.7,0.29,1.665709362,
08/01/1996,17.54,-0.16,-0.903954802,
09/01/1996,17.41,-0.13,-0.741163056,
10/01/1996,17.21,-0.2,-1.148765078,
11/01/1996,16.56,-0.65,-3.776873911,
12/01/1996,16.08,-0.48,-2.898550725,
15/01/1996,16.12,0.04,0.248756219,
16/01/1996,15.95,-0.17,-1.054590571,
17/01/1996,16.21,0.26,1.630094044,
18/01/1996,16.44,0.23,1.418877236,
19/01/1996,16.14,-0.3,-1.824817518,
22/01/1996,15.91,-0.23,-1.425030979,
24/01/1996,16.01,0.1,0.628535512,
25/01/1996,15.47,-0.54,-3.372891943,
26/01/1996,15.07,-0.4,-2.585649644,
29/01/1996,14.78,-0.29,-1.924353019,
30/01/1996,14.93,0.15,1.01488498,
31/01/1996,15.12,0.19,1.272605492,
01/02/1996,15.21,0.09,0.595238095,
02/02/1996,15.4,0.19,1.249178172,
06/02/1996,15.37,-0.03,-0.194805195,
08/02/1996,15.5,0.13,0.845803513,
09/02/1996,15.55,0.05,0.322580645,
12/02/1996,15.61,0.06,0.38585209,
13/02/1996,16.4,0.79,5.060858424,
14/02/1996,16.42,0.02,0.12195122,
15/02/1996,16.61,0.19,1.157125457,
16/02/1996,16.64,0.03,0.180614088,
20/02/1996,17.66,1.02,6.129807692,
21/02/1996,18.1,0.44,2.491506229,
22/02/1996,17.87,-0.23,-1.270718232,
23/02/1996,17.26,-0.61,-3.41354225,
26/02/1996,16.83,-0.43,-2.491309386,
27/02/1996,17.07,0.24,1.426024955,
28/02/1996,16.82,-0.25,-1.464557704,
01/03/1996,17.67,0.85,5.053507729,
04/03/1996,16.62,-1.05,-5.942275042,
05/03/1996,16.94,0.32,1.925391095,
06/03/1996,17.21,0.27,1.593860685,
07/03/1996,17.08,-0.13,-0.755374782,
08/03/1996,17.12,0.04,0.234192037,
12/03/1996,17.59,0.47,2.745327103,
13/03/1996,17.58,-0.01,-0.056850483,
14/03/1996,17.99,0.41,2.332195677,
15/03/1996,18.41,0.42,2.33463035,
18/03/1996,20.09,1.68,9.125475285,
19/03/1996,20.48,0.39,1.941264311,
20/03/1996,19.53,-0.95,-4.638671875,
22/03/1996,20.01,0.48,2.457757296,
25/03/1996,19.42,-0.59,-2.948525737,
26/03/1996,18.96,-0.46,-2.36869207,
27/03/1996,18.68,-0.28,-1.476793249,
28/03/1996,18.3,-0.38,-2.034261242,
29/03/1996,18.35,0.05,0.273224044,
01/04/1996,18.99,0.64,3.48773842,
03/04/1996,18.97,-0.02,-0.105318589,
08/04/1996,19.37,0.4,2.108592514,
09/04/1996,19.55,0.18,0.92927207,
10/04/1996,20.48,0.93,4.757033248,
11/04/1996,21.3,0.82,4.00390625,
12/04/1996,21.3,0,0,
15/04/1996,20.93,-0.37,-1.737089202,
16/04/1996,20.11,-0.82,-3.917821309,
17/04/1996,19.95,-0.16,-0.795624068,
18/04/1996,19.06,-0.89,-4.461152882,
19/04/1996,19.09,0.03,0.157397692,
22/04/1996,19.26,0.17,0.890518596,
23/04/1996,19.96,0.7,3.634475597,
24/04/1996,19.6,-0.36,-1.803607214,
25/04/1996,19.56,-0.04,-0.204081633,
26/04/1996,18.57,-0.99,-5.061349693,
29/04/1996,18.53,-0.04,-0.215401185,
30/04/1996,17.61,-0.92,-4.964921749,
02/05/1996,17.38,-0.23,-1.306076093,
03/05/1996,17.38,0,0,
07/05/1996,17.91,0.53,3.049482163,
08/05/1996,18,0.09,0.502512563,
09/05/1996,17.44,-0.56,-3.111111111,
13/05/1996,17.96,0.52,2.981651376,
14/05/1996,20.45,2.49,13.86414254,
15/05/1996,17.99,-2.46,-12.02933985,
16/05/1996,17.21,-0.78,-4.335742079,
20/05/1996,18.11,0.9,5.229517722,
21/05/1996,18.13,0.02,0.110436223,
22/05/1996,18.4,0.27,1.489244346,
23/05/1996,18.12,-0.28,-1.52173913,
28/05/1996,17.71,-0.41,-2.262693157,
29/05/1996,17.29,-0.42,-2.371541502,
30/05/1996,16.62,-0.67,-3.875072296,
31/05/1996,16.48,-0.14,-0.842358604,
03/06/1996,16.64,0.16,0.970873786,
05/06/1996,16.58,-0.06,-0.360576923,
06/06/1996,16.77,0.19,1.145958987,
