Date,Open,High,Low,Close,Adj Close,Volume,Gain/Loss,Percentage,YTD
01/12/2003,11.1776,11.425,11.1776,11.358,11.358,0,,,
02/12/2003,11.3605,11.38,11.274,11.29,11.29,0,-0.068,-0.598696954,
03/12/2003,11.3605,11.3605,11.186,11.245,11.245,0,-0.045,-0.398582817,
04/12/2003,11.355,11.355,11.159,11.188,11.188,0,-0.057,-0.506891952,
05/12/2003,11.186,11.24,11.123,11.197,11.197,0,0.009,0.080443332,
08/12/2003,11.195,11.241,11.162,11.202,11.202,0,0.005,0.044654818,
09/12/2003,11.176,11.235,11.105,11.162,11.162,0,-0.04,-0.357079093,
10/12/2003,11.1731,11.3,11.117,11.207,11.207,0,0.045,0.403153557,
11/12/2003,11.2293,11.24,11.1,11.109,11.109,0,-0.098,-0.874453467,
12/12/2003,11.155,11.3162,11.084,11.265,11.265,0,0.156,1.404266811,
15/12/2003,11.2346,11.3172,11.144,11.2896,11.2896,0,0.0246,0.218375499,
16/12/2003,11.2896,11.335,11.232,11.239,11.239,0,-0.0506,-0.448200113,
17/12/2003,11.2578,11.275,11.188,11.208,11.208,0,-0.031,-0.275825251,
18/12/2003,11.2591,11.2591,11.151,11.2281,11.2281,0,0.0201,0.179336188,
19/12/2003,11.2281,11.26,11.168,11.22,11.22,0,-0.0081,-0.072140433,
22/12/2003,11.2252,11.325,11.178,11.27,11.27,0,0.05,0.445632799,
23/12/2003,11.2872,11.305,11.162,11.246,11.246,0,-0.024,-0.212954747,
24/12/2003,11.2625,11.275,11.242,11.247,11.247,0,0.001,0.008892051,
25/12/2003,11.2732,11.2732,11.247,11.247,11.247,0,0,0,
26/12/2003,11.2732,11.2732,11.187,11.192,11.192,0,-0.055,-0.489019294,
29/12/2003,11.2732,11.2732,11.172,11.212,11.212,0,0.02,0.178699071,
30/12/2003,11.2223,11.25,11.133,11.199,11.199,0,-0.013,-0.115947199,
31/12/2003,11.2223,11.225,11.191,11.191,11.191,0,-0.008,-0.07143495,
01/01/2004,11.2223,11.2223,11.191,11.191,11.191,0,0,0,0
02/01/2004,11.2223,11.256,11.013,11.057,11.057,0,-0.134,-1.19739076,-1.19739076
05/01/2004,11.059,11.07,10.907,10.982,10.982,0,-0.075,-0.678303337,-1.867572156
06/01/2004,11.0046,11.0046,10.877,10.89,10.89,0,-0.092,-0.837734475,-2.689661335
07/01/2004,10.917,10.925,10.822,10.912,10.912,0,0.022,0.202020202,-2.493074792
08/01/2004,10.8826,10.902,10.762,10.851,10.851,0,-0.061,-0.559017595,-3.038155661
09/01/2004,10.844,10.865,10.749,10.795,10.795,0,-0.056,-0.516081467,-3.53855777
12/01/2004,10.8127,10.847,10.751,10.806,10.806,0,0.011,0.101899027,-3.440264498
13/01/2004,10.8221,10.8731,10.73,10.834,10.834,0,0.028,0.259115306,-3.190063444
14/01/2004,10.85,10.86,10.745,10.813,10.813,0,-0.021,-0.193834226,-3.377714235
15/01/2004,10.814,10.8731,10.783,10.8,10.8,0,-0.013,-0.120225654,-3.49387901
16/01/2004,10.8446,10.8446,10.741,10.815,10.815,0,0.015,0.138888889,-3.359842731
19/01/2004,10.808,10.84,10.77,10.785,10.785,0,-0.03,-0.27739251,-3.627915289
20/01/2004,10.795,10.8751,10.765,10.857,10.857,0,0.072,0.66759388,-2.984541149
21/01/2004,10.8761,10.9841,10.825,10.955,10.955,0,0.098,0.902643456,-2.108837459
22/01/2004,10.957,11.075,10.925,11.056,11.056,0,0.101,0.921953446,-1.206326512
23/01/2004,11.073,11.085,10.846,10.85,10.85,0,-0.206,-1.863241679,-3.047091413
26/01/2004,10.889,10.948,10.822,10.893,10.893,0,0.043,0.396313364,-2.662854079
27/01/2004,10.91,10.947,10.822,10.918,10.918,0,0.025,0.229505187,-2.439460281
28/01/2004,10.92,10.9927,10.842,10.977,10.977,0,0.059,0.540392013,-1.912250916
29/01/2004,10.9927,11.177,10.905,11.075,11.075,0,0.098,0.892775804,-1.036547225
30/01/2004,11.1125,11.115,10.964,11.048,11.048,0,-0.027,-0.243792325,-1.277812528
02/02/2004,11.06,11.06,10.833,10.979,10.979,0,-0.069,-0.624547429,-1.894379412
03/02/2004,11.182,11.182,10.994,11.091,11.091,0,0.112,1.020129338,-0.893575194
04/02/2004,11.098,11.182,10.994,11.145,11.145,0,0.054,0.486881255,-0.411044589
05/02/2004,11.182,11.285,11.095,11.165,11.165,0,0.02,0.179452669,-0.232329551
06/02/2004,11.182,11.205,11.063,11.135,11.135,0,-0.03,-0.26869682,-0.500402109
09/02/2004,11.105,11.136,11.031,11.114,11.114,0,-0.021,-0.188594522,-0.6880529
10/02/2004,11.114,11.155,11.044,11.092,11.092,0,-0.022,-0.197948533,-0.884639442
11/02/2004,11.096,11.125,10.95,10.951,10.951,0,-0.141,-1.271186441,-2.144580466
12/02/2004,10.972,10.985,10.889,10.94,10.94,0,-0.011,-0.100447448,-2.242873738
13/02/2004,10.952,10.975,10.862,10.93,10.93,0,-0.01,-0.091407678,-2.332231257
16/02/2004,10.915,11.015,10.882,10.911,10.911,0,-0.019,-0.173833486,-2.502010544
17/02/2004,10.95,10.95,10.855,10.878,10.878,0,-0.033,-0.302447072,-2.796890358
18/02/2004,10.853,10.982,10.841,10.965,10.965,0,0.087,0.799779371,-2.019479939
19/02/2004,10.98,11.035,10.898,10.93,10.93,0,-0.035,-0.319197446,-2.332231257
20/02/2004,10.965,11.015,10.873,10.92,10.92,0,-0.01,-0.091491308,-2.421588777
23/02/2004,10.962,11.0495,10.875,11.031,11.031,0,0.111,1.016483516,-1.429720311
24/02/2004,11.03,11.105,10.962,11.07,11.07,0,0.039,0.353549089,-1.081225985
25/02/2004,11.091,11.125,11.015,11.036,11.036,0,-0.034,-0.307136405,-1.385041551
26/02/2004,11.071,11.075,10.995,11.037,11.037,0,0.001,0.009061254,-1.376105799
27/02/2004,11.05,11.085,11.007,11.042,11.042,0,0.005,0.045302165,-1.33142704
01/03/2004,11.055,11.065,10.921,10.958,10.958,0,-0.084,-0.760731751,-2.082030203
02/03/2004,10.958,10.975,10.877,10.94,10.94,0,-0.018,-0.164263552,-2.242873738
03/03/2004,10.958,11.071,10.902,11.042,11.042,0,0.102,0.932358318,-1.33142704
04/03/2004,11.05,11.065,10.909,10.919,10.919,0,-0.123,-1.113928636,-2.430524529
05/03/2004,10.935,10.965,10.804,10.9,10.9,0,-0.019,-0.174008609,-2.600303816
08/03/2004,10.9,10.968,10.848,10.931,10.931,0,0.031,0.28440367,-2.323295505
09/03/2004,10.959,10.985,10.904,10.917,10.917,0,-0.014,-0.128076114,-2.448396033
10/03/2004,10.959,10.985,10.828,10.949,10.949,0,0.032,0.293120821,-2.16245197
11/03/2004,10.969,11.015,10.911,11,11,0,0.051,0.465795963,-1.706728621
12/03/2004,11.03,11.055,10.898,10.941,10.941,0,-0.059,-0.536363636,-2.233937986
15/03/2004,10.947,11.023,10.896,11,11,0,0.059,0.53925601,-1.706728621
16/03/2004,11.0075,11.0565,10.953,11.007,11.007,0,0.007,0.063636364,-1.644178358
17/03/2004,11.035,11.045,10.932,10.957,10.957,0,-0.05,-0.454256382,-2.090965955
18/03/2004,10.955,11.01,10.908,10.951,10.951,0,-0.006,-0.054759514,-2.144580466
19/03/2004,10.9675,10.995,10.91,10.94,10.94,0,-0.011,-0.100447448,-2.242873738
22/03/2004,10.972,11.02,10.92,10.95,10.95,0,0.01,0.091407678,-2.153516218
23/03/2004,10.975,10.985,10.913,10.956,10.956,0,0.006,0.054794521,-2.099901707
24/03/2004,10.978,11.0355,10.925,11.014,11.014,0,0.058,0.529390288,-1.581628094
25/03/2004,11.0355,11.045,10.948,11.033,11.033,0,0.019,0.172507717,-1.411848807
26/03/2004,11.033,11.102,10.975,11.042,11.042,0,0.009,0.081573461,-1.33142704
29/03/2004,11.082,11.215,11.06,11.196,11.196,0,0.154,1.394674878,0.04467876
30/03/2004,11.199,11.235,11.153,11.176,11.176,0,-0.02,-0.178635227,-0.134036279
31/03/2004,11.187,11.205,11.094,11.105,11.105,0,-0.071,-0.635289907,-0.768474667
01/04/2004,11.12,11.202,11.075,11.172,11.172,0,0.067,0.603331833,-0.169779287
02/04/2004,11.193,11.195,11.09,11.137,11.137,0,-0.035,-0.313283208,-0.482530605
05/04/2004,11.106,11.18,11.095,11.124,11.124,0,-0.013,-0.116728024,-0.59869538
06/04/2004,11.122,11.175,11.095,11.149,11.149,0,0.025,0.224739302,-0.375301582
07/04/2004,11.165,11.244,11.12,11.209,11.209,0,0.06,0.538164858,0.160843535
08/04/2004,11.207,11.25,11.125,11.193,11.193,0,-0.016,-0.142742439,0.017871504
09/04/2004,11.192,11.192,11.09,11.09,11.09,0,-0.103,-0.920217993,-0.902510946
12/04/2004,11.192,11.2312,11.192,11.2312,11.2312,0,0.1412,1.273219116,0.359217228
