DATE,BIVA VALUE,BIVA VOLUME,BIVA TRADES,BMV VALUE,BMV VOLUME,BMV TRADES,BIVA VALUE MARKET SHARE,BIVA VOLUME MARKET SHARE,BIVA TRADES MARKET SHARE,BMV VALUE MARKET SHARE,BMV VOLUME MARKET SHARE,BMV TRADES MARKET SHARE
25/07/2018,"350,696,578.11","10,307,004","4,851","14,649,458,845.94","282,936,896","372,040",2.34,3.51,1.29,97.66,96.49,98.71
26/07/2018,"372,347,907.78","14,617,900","6,937","17,471,295,139.04","329,018,035","406,371",2.09,4.25,1.68,97.91,95.75,98.32
27/07/2018,"124,976,230.85","958,514",415,"16,649,523,031.24","250,638,714","298,723",0.75,0.38,0.14,99.25,99.62,99.86
30/07/2018,"107,058,359.69","1,137,633","1,321","14,698,716,977.94","228,754,592","341,780",0.72,0.49,0.39,99.28,99.51,99.61
31/07/2018,"52,540,082.15","1,935,609",236,"14,216,936,062.14","251,963,896","404,781",0.37,0.76,0.06,99.63,99.24,99.94
01/08/2018,"182,146,163.91","1,808,137",872,"10,481,202,087.23","193,360,100","339,202",1.71,0.93,0.26,98.29,99.07,99.74
02/08/2018,"112,436,190.02","1,829,061",232,"11,673,715,471.95","228,699,734","326,440",0.95,0.79,0.07,99.05,99.21,99.93
03/08/2018,"350,737,812.32","3,628,670",538,"10,200,390,709.00","236,030,431","262,465",3.32,1.51,0.20,96.68,98.49,99.80
06/08/2018,"155,320,519.90","902,237",883,"7,985,618,905.49","116,987,465","227,909",1.91,0.77,0.39,98.09,99.23,99.61
07/08/2018,"189,789,546.13","1,671,894",651,"12,995,105,825.36","254,593,066","435,534",1.44,0.65,0.15,98.56,99.35,99.85
08/08/2018,"93,252,045.42","1,730,095",483,"14,233,243,984.49","173,784,770","324,165",0.65,0.99,0.15,99.35,99.01,99.85
09/08/2018,"383,388,982.72","1,136,389",655,"22,841,554,036.94","306,884,097","424,332",1.65,0.37,0.15,98.35,99.63,99.85
10/08/2018,"638,155,381.44","20,257,707",968,"11,757,545,068.55","335,294,431","288,351",5.15,5.70,0.33,94.85,94.30,99.67
13/08/2018,"1,120,540,952.44","84,118,242",379,"13,350,401,251.45","237,314,857","252,661",7.74,26.17,0.15,92.26,73.83,99.85
14/08/2018,"821,911,782.83","48,814,972",294,"13,603,202,025.89","254,745,467","342,143",5.70,16.08,0.09,94.30,83.92,99.91
15/08/2018,"619,335,717.16","1,749,099",594,"11,452,875,581.49","171,309,432","270,249",5.13,1.01,0.22,94.87,98.99,99.78
16/08/2018,"173,742,545.98","246,743",627,"11,557,737,877.86","216,860,090","362,676",1.48,0.11,0.17,98.52,99.89,99.83
17/08/2018,"15,900,212.09","172,022","1,370","11,659,626,451.63","208,431,633","361,525",0.14,0.08,0.38,99.86,99.92,99.62
20/08/2018,"183,596,782.07","268,977",821,"7,155,902,700.80","114,413,675","252,427",2.50,0.23,0.32,97.50,99.77,99.68
21/08/2018,"22,632,050.17","448,923",831,"19,719,028,698.55","320,804,489","405,854",0.11,0.14,0.20,99.89,99.86,99.80
22/08/2018,"138,135,828.46","874,520",780,"26,844,485,723.94","395,968,132","399,228",0.51,0.22,0.19,99.49,99.78,99.81
23/08/2018,"117,248,692.81","1,555,964","2,228","9,657,974,952.20","165,987,414","346,868",1.20,0.93,0.64,98.80,99.07,99.36
24/08/2018,"112,124,209.85","512,854","1,712","7,439,686,361.33","123,228,986","276,163",1.48,0.41,0.62,98.52,99.59,99.38
27/08/2018,"171,412,511.43","3,196,000","1,203","11,387,831,993.13","220,502,666","360,110",1.48,1.43,0.33,98.52,98.57,99.67
28/08/2018,"110,756,507.81","856,528","5,866","14,652,904,269.21","274,209,979","360,910",0.75,0.31,1.60,99.25,99.69,98.40
29/08/2018,"206,498,571.99","284,567","1,103","14,862,804,912.48","187,045,292","419,920",1.37,0.15,0.26,98.63,99.85,99.74
30/08/2018,"70,349,805.77","400,298","1,000","15,265,885,049.35","189,476,214","325,239",0.46,0.21,0.31,99.54,99.79,99.69
31/08/2018,"227,213,311.92","22,378,760","1,531","17,750,404,245.44","265,477,300","426,980",1.26,7.77,0.36,98.74,92.23,99.64
03/09/2018,"11,289,675.43","140,183","2,658","1,343,771,270.47","36,233,751","91,309",0.83,0.39,2.83,99.17,99.61,97.17
04/09/2018,"2,973,728,108.04","4,656,709","2,022","17,106,767,616.24","215,808,021","346,410",14.81,2.11,0.58,85.19,97.89,99.42
05/09/2018,"123,703,032.08","3,556,121",901,"14,012,131,038.63","226,345,468","354,367",0.88,1.55,0.25,99.12,98.45,99.75
06/09/2018,"1,651,772,700.58","2,485,629","1,223","10,304,189,776.35","205,538,611","359,582",13.82,1.19,0.34,86.18,98.81,99.66
07/09/2018,"247,916,726.45","933,293",480,"8,501,735,782.71","170,843,093","283,597",2.83,0.54,0.17,97.17,99.46,99.83
10/09/2018,"924,132,538.26","928,236",635,"8,788,297,582.58","136,278,279","283,215",9.51,0.68,0.22,90.49,99.32,99.78
11/09/2018,"492,635,321.62","1,698,553",958,"13,230,700,915.75","168,468,315","342,611",3.59,1.00,0.28,96.41,99.00,99.72
12/09/2018,"41,269,112.75","355,287",819,"15,226,700,695.59","278,451,776","462,953",0.27,0.13,0.18,99.73,99.87,99.82
13/09/2018,"461,259,176.56","6,351,262","1,188","18,800,818,611.45","318,881,145","381,526",2.39,1.95,0.31,97.61,98.05,99.69
14/09/2018,"957,980,060.89","914,932","1,151","13,040,503,598.93","214,500,546","336,512",6.84,0.42,0.34,93.16,99.58,99.66
17/09/2018,"94,536,854.65","611,624","1,202","11,806,819,822.08","156,403,547","272,389",0.79,0.39,0.44,99.21,99.61,99.56
18/09/2018,"213,016,630.51","2,605,615",484,"13,635,462,347.41","266,997,770","395,938",1.54,0.97,0.12,98.46,99.03,99.88
19/09/2018,"25,781,975.77","265,805","1,015","14,218,607,559.34","280,747,443","385,701",0.18,0.09,0.26,99.82,99.91,99.74
20/09/2018,"137,675,294.82","2,730,687",515,"10,262,885,614.19","220,164,283","354,388",1.32,1.23,0.15,98.68,98.77,99.85
21/09/2018,"111,828,624.68","2,639,733",522,"33,822,462,700.66","760,122,957","689,595",0.33,0.35,0.08,99.67,99.65,99.92
24/09/2018,"15,901,815.94","143,433",395,"10,599,253,798.59","260,465,324","270,070",0.15,0.06,0.15,99.85,99.94,99.85
25/09/2018,"408,829,585.95","561,654",633,"13,152,460,083.53","297,331,521","305,994",3.01,0.19,0.21,96.99,99.81,99.79
26/09/2018,"876,574,276.20","9,081,825",687,"10,307,336,378.36","216,343,707","318,475",7.84,4.03,0.22,92.16,95.97,99.78
27/09/2018,"53,338,945.57","1,079,810",695,"14,128,638,643.26","270,276,961","299,595",0.38,0.40,0.23,99.62,99.60,99.77
28/09/2018,"93,384,350.80","769,524",925,"13,292,594,773.48","312,704,442","311,540",0.70,0.25,0.30,99.30,99.75,99.70
01/10/2018,"231,395,034.27","769,228",484,"11,894,088,625.66","247,762,775","272,789",1.91,0.31,0.18,98.09,99.69,99.82
