MARKET,INSTRUMENT,CLOSE,BMV VALUE,BIVA VALUE,BMV VOLUME,BIVA VOLUME,BMV TRADES,BIVA TRADES,BMV MSG RATIO,BIVA MSG RATIO
LOCAL,AMX B,16.65,2387800260.35,409668114.45,144015534,24742571,74309,13402,2,6
LOCAL,GFNORTE O,146.03,1176186348.77,162583852.44,8021702,1107145,11886,3579,11,25
LOCAL,WALMEX *,67.13,858507588.65,214821587.23,12727307,3174761,27615,8742,5,9
LOCAL,CEMEX CPO,13.22,581693216.50,135253131.54,43609731,20616,20616,5619,4,9
LOCAL,FEMSA UBD,196.00,538613052.58,134766845.53,2745072,686592,9433,3297,13,24
GLOBAL,META *,4892.55,432540859.99,13520238.63,86064,2743,142,80,1043,412
GLOBAL,XTMXX N,5727.90,269846843.28,0,46844,0,2,0,-,0
GLOBAL,SHV *,1890.80,175556046.41,61700643.41,92909,32670,62,46,1631,1258
GLOBAL,ACWI *,1608.00,104465570.43,824662.80,64651,512,6,2,760,510
GLOBAL,EVO N,1849.14,90043872.30,0,48695,0,1,0,-,0
